id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
biden_sotu_01_001,Biden,SOTU,01,1,"JOSEPH R. BIDEN, JR. Address to a Joint Session of Congress March 1, 2022 Thank you.",0,16,84,3,4.8
biden_sotu_01_002,Biden,SOTU,01,2,Thank you. Thank you. Good to be back.,0,8,38,3,2.4
biden_sotu_01_003,Biden,SOTU,01,3,"As Mitch and Chuck will understand, it's good to be almost home, down the hall. [Laughter] Anyway, thank you all. Madam Speaker, Madam Vice President—no President has ever said those words from this podium.",0,34,206,3,10.2
biden_sotu_01_004,Biden,SOTU,01,4,"No President has ever said those words, and it's about time. First Lady—I'm her husband; Second Gentleman; Chief Justice; Members of the United States Congress and the Cabinet; distinguished guests; my fellow Americans: While the setting tonight is familiar, this gathering is just a little bit different, a reminder of the extraordinary times we're in. Throughout our history, Presidents have come to this Chamber to speak to Congress, to the Nation, and to the world; to declare war, to celebrate peace; to announce new plans and possibilities.",0,87,546,3,26.1
biden_sotu_01_005,Biden,SOTU,01,5,"Tonight I come to talk about crisis and opportunity, about rebuilding the Nation, revitalizing our democracy, and winning the future for America. I stand here tonight, 1 day shy of the hundredth day of my administration, hundred days since I took the oath of office and lifted my hand off our family Bible and inherited a Nation—we all did—that was in crisis: the worst pandemic in a century, the worst economic crisis since the Great Depression, the worst attack on our democracy since the Civil War. Now, after just 100 days, I can report to the Nation: America is on the move again, turning peril into possibility, crisis to opportunity, setbacks into strength.",0,113,664,3,33.9
biden_sotu_01_006,Biden,SOTU,01,6,"We all know life can knock us down. But, in America, we never, ever, ever stay down. Americans always get up.",0,21,109,3,6.3
biden_sotu_01_007,Biden,SOTU,01,7,"Today, that's what we're doing: America is rising anew, choosing hope over fear, truth over lies, and light over darkness.",0,20,122,1,6.0
biden_sotu_01_008,Biden,SOTU,01,8,"After 100 days of rescue and renewal, America is ready for takeoff, in my view. We're working again, dreaming again, discovering again, and leading the world again.",0,27,164,2,8.1
biden_sotu_01_009,Biden,SOTU,01,9,"We have shown each other and the world that there's no quit in America—none. One hundred days ago, America's house was on fire. And we had to act.",0,28,146,3,8.4
biden_sotu_01_010,Biden,SOTU,01,10,"And thanks to the extraordinary leadership of Speaker Pelosi; Majority Leader Schumer; and the overwhelming support of the American people— Democrats, Independents, and Republicans—we did act. Together we passed the American Rescue Plan, one of the most consequential rescue packages in American history. We're already seeing the results.",0,48,338,3,14.4
biden_sotu_01_011,Biden,SOTU,01,11,[Applause ] We're already seeing the results.,0,7,45,1,2.1
biden_sotu_01_012,Biden,SOTU,01,12,"After I promised we'd get 100 million COVID-19 vaccine shots into people's arms in 100 days, we will have provided over 220 million COVID shots in those 100 days. Thanks to all the help of all of you, we're marshaling—with your help, everyone's help—we're marshaling every Federal resource. We've gotten vaccines to nearly 40,000 pharmacies and over 700 community health centers where the poorest of the poor can be reached.",0,70,424,3,21.0
biden_sotu_01_013,Biden,SOTU,01,13,"We're setting up community vaccination sites, developing mobile units to get to hard-to-reach communities. Today, 90 percent of Americans now live within 5 miles of a vaccination site. Everyone over the age of 16—everyone—is now eligible to get vaccinated right now, right away.",0,43,278,3,12.9
biden_sotu_01_014,Biden,SOTU,01,14,"Go get vaccinated, America. Go and get the vaccination. They're available.",0,11,74,3,3.3
biden_sotu_01_015,Biden,SOTU,01,15,"When I was sworn in on January 20, less than 1 percent of the seniors in America were fully vaccinated against COVID-19. One hundred days later, 70 percent of seniors in America over 65 are protected—fully protected. Senior deaths from COVID-19 are down 80 percent since January—down 80 percent—because of all of you.",0,53,317,3,15.9
biden_sotu_01_016,Biden,SOTU,01,16,"And more than half of all the adults in America have gotten at least one shot. At a mass vaccination center in Glendale, Arizona, I asked the nurse—I said, ""What's it like?"" She looked at me, and she said, ""It's like every shot is giving a dose of hope""—was her phrase. ""A dose of hope."" A dose of hope for an educator in Florida who has a child suffering from an autoimmune disease—wrote to me, said she's worried—that she was worrying about bringing the virus home.",0,86,467,5,25.8
biden_sotu_01_017,Biden,SOTU,01,17,"She said she then got vaccinated at a large site, in her car. She said she sat in her car, when she got vaccinated and just cried, cried out of joy and cried out of relief. Parents seeing the smiles on their kids' faces, for those who are able to go back to school because the teachers and school bus drivers and cafeteria workers have been vaccinated.",0,67,352,3,20.1
biden_sotu_01_018,Biden,SOTU,01,18,Grandparents hugging their children and grandchildren instead of pressing hands against a window to say goodbye. It means everything. Those things mean everything.,0,23,163,3,6.9
biden_sotu_01_019,Biden,SOTU,01,19,"You know, there's still—you all know it; you know it better than any group of Americans—there's still more work to do to beat this virus. We can't let our guard down.",0,31,166,2,9.3
biden_sotu_01_020,Biden,SOTU,01,20,"But tonight I can say it: Because of you, the American people, our progress these past hundred days against one of the worst pandemics in history has been one of the greatest logistical achievements—logistical achievements— this country has ever seen. What else have we done in those first hundred days? We kept our commitment—Democrats and Republicans—of sending $1,400 rescue checks to 85 percent of American households.",0,66,422,3,19.8
biden_sotu_01_021,Biden,SOTU,01,21,We've already sent more than 160 million checks out the door. It's making the difference. You all know it when you go home.,0,23,123,3,6.9
biden_sotu_01_022,Biden,SOTU,01,22,"For many people, it's making all the difference in the world. The single mom in Texas who wrote to me, she said she couldn't work, but she said the relief check put food on the table and saved her and her son from eviction from their apartment. A grandmother in Virginia who told me she immediately took her granddaughter to the eye doctor, something she said she put off for months because she didn't have the money.",0,77,417,3,23.1
biden_sotu_01_023,Biden,SOTU,01,23,"One of the defining images, at least from my perspective, in this crisis has been cars lined up, cars lined up for miles. And not people who just barely ever start those cars, nice cars lined up for miles, waiting for a box of food to be put in their trunk. I don't know about you, but I didn't ever think I'd see that in America.",0,66,330,3,19.8
biden_sotu_01_024,Biden,SOTU,01,24,"And all of this is through no fault of their own. No fault of their own, these people are in this position. That's why the Rescue Plan is delivering food and nutrition assistance to millions of Americans facing hunger, and hunger is down sharply already.",0,45,254,3,13.5
biden_sotu_01_025,Biden,SOTU,01,25,"We're also providing rental assistance—you all know this, but the American people, I want to make sure they understand—keeping people from being evicted from their homes, providing loans to small businesses to reopen and keep their employees on the job. During these 100 days, an additional 800,000 Americans enrolled in the Affordable Care Act when I established the special signup period to do that —800,000 in that period. We're making one of the largest one-time ever investments—ever—in improving health care for veterans.",0,82,527,3,24.6
biden_sotu_01_026,Biden,SOTU,01,26,"Critical investments to address the opioid crisis. And, maybe most importantly, thanks to the American Rescue Plan, we're on track to cut child poverty in America in half this year. And, in the process, while this was all going on, the economy created more than 1,300,000 new jobs in 100 days, more jobs in the first 100 days than any President on record.",0,63,355,3,18.9
biden_sotu_01_027,Biden,SOTU,01,27,The International Monetary Fund is now estimating our economy will grow at a rate of more than 6 percent this year. That will be the fastest pace of economic growth in this country in nearly four decades.,0,37,204,2,11.1
biden_sotu_01_028,Biden,SOTU,01,28,America is moving—moving forward—but we can't stop now. We're in competition with China and other countries to win the 21st century. We're at a great inflection point in history.,0,29,178,3,8.7
biden_sotu_01_029,Biden,SOTU,01,29,"We have to do more than just build back better—I mean, ""build back."" We have to build back better.",0,19,98,2,5.7
biden_sotu_01_030,Biden,SOTU,01,30,"We have to compete more strenuously than we have. Throughout our history, if you think about it, public investment in infrastructure has literally transformed America: our attitudes, as well as our opportunities. The transcontinental railroad, the interstate highways united two oceans and brought a totally new age of progress to the United States of America.",0,55,360,3,16.5
biden_sotu_01_031,Biden,SOTU,01,31,"Universal public schools and college aid opened wide the doors of opportunity. Scientific breakthroughs took us to the Moon—now we're on Mars—discovering vaccines, gave us the internet, and so much more. These are the investments we made together as one country, and investments that only the Government was in a position to make.",0,53,330,3,15.9
biden_sotu_01_032,Biden,SOTU,01,32,"Time and again, they propel us into the future. That's why I proposed the American Jobs Plan, a once-in-a-generation investment in America itself. This is the largest jobs plan since World War II.",0,33,196,3,9.9
biden_sotu_01_033,Biden,SOTU,01,33,"It creates jobs to upgrade our transportation infrastructure; jobs modernizing our roads, bridges, highways; jobs building ports and airports, rail corridors, transit lines. It's clean water. And, today, up to 10 million homes in America and more than 400,000 schools and childcare centers have pipes with lead in them, including in drinking water, a clear and present danger to our children's health.",0,62,401,3,18.6
biden_sotu_01_034,Biden,SOTU,01,34,"The American Jobs Plan creates jobs replacing 100 percent of the Nation's lead pipes and service lines so every American can drink clean water. And, in the process, it will create thousands and thousands of good-paying jobs. It creates jobs connecting every American with high-speed internet, including 35 percent of the rural America that still doesn't have it.",0,58,362,3,17.4
biden_sotu_01_035,Biden,SOTU,01,35,"This is going to help our kids and our businesses succeed in the 21st-century economy. And I'm asking the Vice President to lead this effort, if she would—— Vice President Kamala D. Harris .",0,34,190,3,10.2
biden_sotu_01_036,Biden,SOTU,01,36,Of course. The President. ——because I know it will get done.,0,11,60,3,3.3
biden_sotu_01_037,Biden,SOTU,01,37,"It creates jobs, building a modern power grid. Our grids are vulnerable to storms, hacks, catastrophic failures, with tragic results, as we saw in Texas and elsewhere during the winter storms. The American Jobs Plan will create jobs that will lay thousands of miles of transmission lines needed to build a resilient and fully clean grid.",0,56,337,3,16.8
biden_sotu_01_038,Biden,SOTU,01,38,"We can do that. Look, the American Jobs Plan will help millions of people get back to their jobs and back to their careers. Two million women have dropped out of the workforce during this pandemic—2 million, and too often because they couldn't get the care they needed to care for their child or care for an elderly parent who needs help.",0,62,338,3,18.6
biden_sotu_01_039,Biden,SOTU,01,39,"Eight hundred thousand families are on a Medicare waiting list right now to get homecare for their aging parent or loved one with a disability. If you think it's not important, check out in your own district, Democrat or Republican. Democrat or Republican voters, their great concern—almost as much as their children—is taking care of an elderly loved one who can't be left alone.",0,64,380,3,19.2
biden_sotu_01_040,Biden,SOTU,01,40,"Medicaid contemplated it, but this plan is going to help those families and create jobs for our caregivers with better wages and better benefits, continuing a cycle of growth.",0,29,175,1,8.7
biden_sotu_01_041,Biden,SOTU,01,41,"For too long, we've failed to use the most important word when it comes to meeting the climate crisis: ""jobs."" Jobs. Jobs.",0,22,122,3,6.6
biden_sotu_01_042,Biden,SOTU,01,42,"For me, when I think ""climate change,"" I think ""jobs."" The American Jobs Plan will put engineers and construction workers to work building more energy-efficient buildings and homes; electrical workers— IBEW members—installing 500,000 charging stations along our highways so we can own the electric car market. Farmers—farmers planting cover crops so they can reduce the carbon dioxide in the air and get paid for doing it. Look, but think about it: There is simply no reason why the blades for wind turbines can't be built in Pittsburgh instead of Beijing.",0,90,556,4,27.0
biden_sotu_01_043,Biden,SOTU,01,43,No reason. None. No reason.,0,5,27,3,1.5
biden_sotu_01_044,Biden,SOTU,01,44,"So, folks, there's no reason why American workers can't lead the world in the production of electric vehicles and batteries. I mean, there is no reason.",0,26,152,2,7.8
biden_sotu_01_045,Biden,SOTU,01,45,"We have the brightest, best trained people in the world. The American Jobs Plan is going to create millions of good-paying jobs—jobs Americans can raise a family on—as my dad would then say, ""with a little breathing room."" And all the investments in the American Jobs Plan will be guided by one principle: buy American. Buy American.",0,57,333,4,17.1
biden_sotu_01_046,Biden,SOTU,01,46,"And I might note, parenthetically, that does not violate any trade agreement. It's been the law since the thirties: buy American. American tax dollars are going to be used to buy American products made in America to create American jobs.",0,40,237,3,12.0
biden_sotu_01_047,Biden,SOTU,01,47,That's the way it's supposed to be and it will be in this administration. And I made it clear to all my Cabinet people. Their ability to give exemptions has been strenuously limited.,0,33,182,3,9.9
biden_sotu_01_048,Biden,SOTU,01,48,It will be American products.,0,5,29,1,1.5
biden_sotu_01_049,Biden,SOTU,01,49,"Now I know some of you at home are wondering whether these jobs are for you. So many of you—so many of the folks I grew up with—feel left behind, forgotten in an economy that's so rapidly changing it's frightening.",0,40,214,2,12.0
