id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
bush_inaugural_01_001,Bush,INAUGURAL,01,1,"GEORGE W. BUSH Inaugural Address January 20, 2001 Thank you, all. Chief Justice Rehnquist, President Carter, President Bush, President Clinton, distinguished guests, and my fellow citizens.",0,26,189,3,7.8
bush_inaugural_01_002,Bush,INAUGURAL,01,2,"The peaceful transfer of authority is rare in history, yet common in our country. With a simple oath, we affirm old traditions and make new beginnings. As I begin, I thank President Clinton for his service to our Nation, and I thank Vice President Gore for a contest conducted with spirit and ended with grace.",0,55,310,3,16.5
bush_inaugural_01_003,Bush,INAUGURAL,01,3,"I am honored and humbled to stand here where so many of America's leaders have come before me, and so many will follow.",0,23,119,1,6.9
bush_inaugural_01_004,Bush,INAUGURAL,01,4,"We have a place, all of us, in a long story, a story we continue but whose end we will not see. It is a story of a new world that became a friend and liberator of the old, the story of a slaveholding society that became a servant of freedom, the story of a power that went into the world to protect but not possess, to defend but not to conquer. It is the American story, a story of flawed and fallible people united across the generations by grand and enduring ideals.",0,93,469,3,27.9
bush_inaugural_01_005,Bush,INAUGURAL,01,5,"The grandest of these ideals is an unfolding American promise that everyone belongs, that everyone deserves a chance, that no insignificant person was ever born. Americans are called to enact this promise in our lives and in our laws. And though our Nation has sometimes halted and sometimes delayed, we must follow no other course.",0,55,332,3,16.5
bush_inaugural_01_006,Bush,INAUGURAL,01,6,"Through much of the last century, America's faith in freedom and democracy was a rock in a raging sea.",0,19,102,1,5.7
bush_inaugural_01_007,Bush,INAUGURAL,01,7,"Now it is a seed upon the wind, taking root in many nations. Our democratic faith is more than the creed of our country. It is the inborn hope of our humanity, an ideal we carry but do not own, a trust we bear and pass along.",0,47,225,3,14.1
bush_inaugural_01_008,Bush,INAUGURAL,01,8,"Even after nearly 225 years, we have a long way yet to travel. While many of our citizens prosper, others doubt the promise, even the justice of our own country. The ambitions of some Americans are limited by failing schools and hidden prejudice and the circumstances of their birth.",0,49,283,3,14.7
bush_inaugural_01_009,Bush,INAUGURAL,01,9,"And sometimes our differences run so deep, it seems we share a continent but not a country. We do not accept this, and we will not allow it. Our unity, our Union, is a serious work of leaders and citizens and every generation.",0,43,226,3,12.9
bush_inaugural_01_010,Bush,INAUGURAL,01,10,"And this is my solemn pledge: I will work to build a single nation of justice and opportunity. I know this is in our reach because we are guided by a power larger than ourselves, who creates us equal, in His image, and we are confident in principles that unite and lead us onward.",0,54,280,2,16.2
bush_inaugural_01_011,Bush,INAUGURAL,01,11,America has never been united by blood or birth or soil.,0,11,56,1,3.3
