id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
bush_sotu_02_001,Bush,SOTU,02,1,"GEORGE W. BUSH Address to a Joint Session of Congress January 23, 2007 America and Afghanistan are now allies against terror. We'll be partners in rebuilding that country.",0,28,171,3,8.4
bush_sotu_02_002,Bush,SOTU,02,2,"And this evening we welcomed the distinguished interim leader of a liberated Afghanistan, Chairman Hamid Karzai. The last time we met in this Chamber, the mothers and daughters of Afghanistan were captives in their own homes, forbidden from working or going to school. Today, women are free and are part of Afghanistan's new Government.",0,54,336,3,16.2
bush_sotu_02_003,Bush,SOTU,02,3,"And we welcome the new Minister of Women's Affairs, Dr. Sima Samar. Our progress is a tribute to the spirit of the Afghan people, to the resolve of our coalition, and to the might of the United States military.",0,39,210,3,11.7
bush_sotu_02_004,Bush,SOTU,02,4,"When I called our troops into action, I did so with complete confidence in their courage and skill. And tonight, thanks to them, we are winning the war on terror. The men and women of our Armed Forces have delivered a message now clear to every enemy of the United States: Even 7,000 miles away, across oceans and continents, on mountaintops and in caves, you will not escape the justice of this Nation.",0,73,403,3,21.9
bush_sotu_02_005,Bush,SOTU,02,5,"For many Americans, these 4 months have brought sorrow and pain that will never completely go away. Every day a retired firefighter returns to Ground Zero to feel closer to his two sons who died there. At a memorial in New York, a little boy left his football with a note for his lost father: ""Dear Daddy, please take this to heaven.",0,62,333,3,18.6
bush_sotu_02_006,Bush,SOTU,02,6,"I don't want to play football until I can play with you again some day."" Last month, at the grave of her husband, Micheal, a CIA officer and marine who died in Mazar-e-Sharif, Shannon Spann said these words of farewell, ""Semper Fi, my love."" Shannon is with us tonight. Shannon, I assure you and all who have lost a loved one that our cause is just, and our country will never forget the debt we owe Micheal and all who gave their lives for freedom. Our cause is just, and it continues.",0,92,486,5,27.6
bush_sotu_02_007,Bush,SOTU,02,7,Our discoveries in Afghanistan confirmed our worst fears and showed us the true scope of the task ahead.,0,18,104,1,5.4
bush_sotu_02_008,Bush,SOTU,02,8,We have seen the depth of our enemies' hatred in videos where they laugh about the loss of innocent life. And the depth of their hatred is equaled by the madness of the destruction they design.,0,36,193,2,10.8
bush_sotu_02_009,Bush,SOTU,02,9,"We have found diagrams of American nuclear powerplants and public water facilities, detailed instructions for making chemical weapons, surveillance maps of American cities, and thorough descriptions of landmarks in America and throughout the world. What we have found in Afghanistan confirms that, far from ending there, our war against terror is only beginning. Most of the 19 men who hijacked planes on September the 11th were trained in Afghanistan's camps, and so were tens of thousands of others.",0,78,501,3,23.4
bush_sotu_02_010,Bush,SOTU,02,10,"Thousands of dangerous killers, schooled in the methods of murder, often supported by outlaw regimes, are now spread throughout the world like ticking timebombs, set to go off without warning. Thanks to the work of our law enforcement officials and coalition partners, hundreds of terrorists have been arrested. Yet, tens of thousands of trained terrorists are still at large.",0,59,376,3,17.7
bush_sotu_02_011,Bush,SOTU,02,11,"These enemies view the entire world as a battlefield, and we must pursue them wherever they are. So long as training camps operate, so long as nations harbor terrorists, freedom is at risk. And America and our allies must not and will not allow it.",0,45,248,3,13.5
bush_sotu_02_012,Bush,SOTU,02,12,"Our Nation will continue to be steadfast and patient and persistent in the pursuit of two great objectives. First, we will shut down terrorist camps, disrupt terrorist plans, and bring terrorists to justice. And second, we must prevent the terrorists and regimes who seek chemical, biological, or nuclear weapons from threatening the United States and the world.",0,57,362,3,17.1
bush_sotu_02_013,Bush,SOTU,02,13,"Our military has put the terror training camps of Afghanistan out of business, yet camps still exist in at least a dozen countries. A terrorist underworld, including groups like Hamas, Hizballah, Islamic Jihad, Jaish-e- Mohammed, operates in remote jungles and deserts and hides in the centers of large cities. While the most visible military action is in Afghanistan, America is acting elsewhere.",0,62,397,3,18.6
bush_sotu_02_014,Bush,SOTU,02,14,"We now have troops in the Philippines, helping to train that country's armed forces to go after terrorist cells that have executed an American and still hold hostages. Our soldiers, working with the Bosnian Government, seized terrorists who were plotting to bomb our Embassy. Our Navy is patrolling the coast of Africa to block the shipment of weapons and the establishment of terrorist camps in Somalia.",0,66,404,3,19.8
