id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
clinton_inaugural_01_001,Clinton,INAUGURAL,01,1,"WILLIAM J. CLINTON Inaugural Address January 20, 1993 My fellow citizens, today we celebrate the mystery of American renewal. This ceremony is held in the depth of winter, but by the words we speak and the faces we show the world, we force the spring, a spring reborn in the world's oldest democracy that brings forth the vision and courage to reinvent America.",0,63,361,3,18.9
clinton_inaugural_01_002,Clinton,INAUGURAL,01,2,"When our Founders boldly declared America's independence to the world and our purposes to the Almighty, they knew that America, to endure, would have to change; not change for change's sake but change to preserve America's ideals: life, liberty, the pursuit of happiness. Though we marched to the music of our time, our mission is timeless. Each generation of Americans must define what it means to be an American.",0,69,414,3,20.7
clinton_inaugural_01_003,Clinton,INAUGURAL,01,3,"On behalf of our Nation, I salute my predecessor, President Bush, for his half-century of service to America. And I thank the millions of men and women whose steadfastness and sacrifice triumphed over depression, fascism, and communism. Today, a generation raised in the shadows of the cold war assumes new responsibilities in a world warmed by the sunshine of freedom but threatened still by ancient hatreds and new plagues.",0,69,425,3,20.7
clinton_inaugural_01_004,Clinton,INAUGURAL,01,4,"Raised in unrivaled prosperity, we inherit an economy that is still the world's strongest but is weakened by business failures, stagnant wages, increasing inequality, and deep divisions among our own people.",0,31,207,1,9.3
clinton_inaugural_01_005,Clinton,INAUGURAL,01,5,"When George Washington first took the oath I have just sworn to uphold, news traveled slowly across the land by horseback and across the ocean by boat. Now, the sights and sounds of this ceremony are broadcast instantaneously to billions around the world. Communications and commerce are global.",0,48,295,3,14.4
clinton_inaugural_01_006,Clinton,INAUGURAL,01,6,Investment is mobile. Technology is almost magical. And ambition for a better life is now universal.,0,16,100,3,4.8
clinton_inaugural_01_007,Clinton,INAUGURAL,01,7,We earn our livelihood in America today in peaceful competition with people all across the Earth. Profound and powerful forces are shaking and remaking our world. And the urgent question of our time is whether we can make change our friend and not our enemy.,0,45,258,3,13.5
clinton_inaugural_01_008,Clinton,INAUGURAL,01,8,This new world has already enriched the lives of millions of Americans who are able to compete and win in it.,0,21,109,1,6.3
clinton_inaugural_01_009,Clinton,INAUGURAL,01,9,"But when most people are working harder for less; when others cannot work at all; when the cost of health care devastates families and threatens to bankrupt our enterprises, great and small; when the fear of crime robs law-abiding citizens of their freedom; and when millions of poor children cannot even imagine the lives we are calling them to lead, we have not made change our friend. We know we have to face hard truths and take strong steps, but we have not done so; instead, we have drifted. And that drifting has eroded our resources, fractured our economy, and shaken our confidence.",0,103,591,3,30.9
clinton_inaugural_01_010,Clinton,INAUGURAL,01,10,"Though our challenges are fearsome, so are our strengths. Americans have ever been a restless, questing, hopeful people. And we must bring to our task today the vision and will of those who came before us.",0,36,205,3,10.8
clinton_inaugural_01_011,Clinton,INAUGURAL,01,11,"From our Revolution to the Civil War, to the Great Depression, to the civil rights movement, our people have always mustered the determination to construct from these crises the pillars of our history. Thomas Jefferson believed that to preserve the very foundations of our Nation, we would need dramatic change from time to time. Well, my fellow Americans, this is our time.",0,62,374,3,18.6
clinton_inaugural_01_012,Clinton,INAUGURAL,01,12,Let us embrace it. Our democracy must be not only the envy of the world but the engine of our own renewal. There is nothing wrong with America that cannot be cured by what is right with America.,0,38,194,3,11.4
clinton_inaugural_01_013,Clinton,INAUGURAL,01,13,"And so today we pledge an end to the era of deadlock and drift, and a new season of American renewal has begun.",0,23,111,1,6.9
clinton_inaugural_01_014,Clinton,INAUGURAL,01,14,"To renew America, we must be bold.",0,7,34,1,2.1
clinton_inaugural_01_015,Clinton,INAUGURAL,01,15,We must do what no generation has had to do before.,0,11,51,1,3.3
