id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
biden_inaugural_01_001,Biden,INAUGURAL,01,1,"JOSEPH R. BIDEN, JR. Inaugural Address January 20, 2021 Chief Justice Roberts, Vice President Harris, Speaker Pelosi, Leader Schumer, Leader McConnell, Vice President Pence, and my distinguished guests, and my fellow Americans: This is America's day.",0,36,250,3,10.8
biden_inaugural_01_002,Biden,INAUGURAL,01,2,"This is democracy's day, a day of history and hope, of renewal and resolve. Through a crucible for the ages America has been tested anew, and America has risen to the challenge.",0,32,177,2,9.6
biden_inaugural_01_003,Biden,INAUGURAL,01,3,"Today we celebrate the triumph not of a candidate, but of a cause, the cause of democracy. The people—the will of the people has been heard, and the will of the people has been heeded. We've learned again that democracy is precious, democracy is fragile.",0,45,254,3,13.5
biden_inaugural_01_004,Biden,INAUGURAL,01,4,"And at this hour, my friends, democracy has prevailed. So now, on this hallowed ground where just a few days ago violence sought to shake the Capitol's very foundation, we come together as one Nation under God, indivisible, to carry out the peaceful transfer of power as we have for more than two centuries.",0,54,307,2,16.2
biden_inaugural_01_005,Biden,INAUGURAL,01,5,"As we look ahead in our uniquely American way—restless, bold, optimistic—and set our sights on the Nation we know we can be and we must be, I thank my predecessors of both parties for their presence here today. I thank them from the bottom of my heart. And I know the resilience of our Constitution and the strength, the strength of our Nation, as does President Carter, who I spoke with last night, who cannot be with us today, but whom we salute for his lifetime of service.",0,88,476,3,26.4
biden_inaugural_01_006,Biden,INAUGURAL,01,6,"I have just taken the sacred oath each of these patriots have taken, the oath first sworn by George Washington.",0,20,111,1,6.0
biden_inaugural_01_007,Biden,INAUGURAL,01,7,"But the American story depends not on any one of us, not on some of us, but on all of us, on ""We the People,"" who seek a more perfect Union. This is a great Nation; we are good people. Over the centuries, through storm and strife, in peace and in war, we've come so far.",0,56,270,3,16.8
biden_inaugural_01_008,Biden,INAUGURAL,01,8,"But we still have far to go. We'll press forward with speed and urgency, for we have much to do in this winter of peril and significant possibilities: much to repair, much to restore, much to heal, much to build, and much to gain. Few people in our Nation's history have been more challenged or found a time more challenging or difficult than the time we're in now.",0,68,365,3,20.4
biden_inaugural_01_009,Biden,INAUGURAL,01,9,A once-in-acentury virus that silently stalks the country has taken as many lives in one year as America lost in all of World War II. Millions of jobs have been lost; hundreds of thousands of businesses closed. A cry for racial justice some 400 years in the making moves us.,0,50,274,3,15.0
biden_inaugural_01_010,Biden,INAUGURAL,01,10,"The dream of justice for all will be deferred no longer. A cry for survival comes from the planet itself, a cry that can't be any more desperate or any more clear. And now, a rise of political extremism, White supremacy, domestic terrorism that we must confront and we will defeat.",0,51,281,3,15.3
biden_inaugural_01_011,Biden,INAUGURAL,01,11,To overcome these challenges—to restore the soul and secure the future of America—requires so much more than words. It requires the most elusive of all things in a democracy: unity. Unity.,0,31,188,3,9.3
biden_inaugural_01_012,Biden,INAUGURAL,01,12,"In another January on New Year's Day in 1863, Abraham Lincoln signed the Emancipation Proclamation.",0,15,99,1,4.5
biden_inaugural_01_013,Biden,INAUGURAL,01,13,"When he put pen to paper, the President said, and I quote, ""If my name ever goes down into history it will be for this act, and my whole soul is in it."" My whole soul is in it. Today, on this January day, my whole soul is in this: bringing America together, uniting our people, uniting our Nation. And I ask every American to join me in this cause: uniting to fight the foes we face: anger, resentment, and hatred; extremism, lawlessness, violence; disease, joblessness, and hopelessness.",0,88,488,4,26.4
biden_inaugural_01_014,Biden,INAUGURAL,01,14,"With unity we can do great things, important things. We can right wrongs. We can put people to work in good jobs.",0,22,113,3,6.6
biden_inaugural_01_015,Biden,INAUGURAL,01,15,We can teach our children in safe schools. We can overcome the deadly virus. We can reward work and rebuild the middle class and make health care secure for all.,0,30,161,3,9.0
biden_inaugural_01_016,Biden,INAUGURAL,01,16,"We can deliver racial justice, and we can make America, once again, the leading force for good in the world. I know speaking of unity can sound to some like a foolish fantasy these days. I know the forces that divide us are deep and they are real.",0,48,247,3,14.4
biden_inaugural_01_017,Biden,INAUGURAL,01,17,"But I also know they are not new. Our history has been a constant struggle between the American ideal that we all are created equal and the harsh, ugly reality that racism, nativism, fear, demonization have long torn us apart. The battle is perennial.",0,44,251,3,13.2
biden_inaugural_01_018,Biden,INAUGURAL,01,18,"And victory is never assured. Through the Civil War, the Great Depression, World War, 9/11, through struggle, sacrifice, and setbacks, our ""better angels"" have always prevailed. In each of these moments, enough of us—enough of us—have come together to carry all of us forward.",0,44,276,3,13.2
biden_inaugural_01_019,Biden,INAUGURAL,01,19,"And we can do that now. History, faith, and reason show the way: the way of unity. We can see each other not as adversaries, but as neighbors.",0,28,142,3,8.4
biden_inaugural_01_020,Biden,INAUGURAL,01,20,"We can treat each other with dignity and respect. We can join forces, stop the shouting, and lower the temperature.",0,20,115,2,6.0
biden_inaugural_01_021,Biden,INAUGURAL,01,21,"For without unity, there is no peace, only bitterness and fury. No progress, only exhausting outrage. No nation, only a state of chaos.",0,23,135,3,6.9
biden_inaugural_01_022,Biden,INAUGURAL,01,22,"This is our historic moment of crisis and challenge, and unity is the path forward. And we must meet this moment as the United States of America. If we do that, I guarantee you, we will not fail.",0,38,195,3,11.4
biden_inaugural_01_023,Biden,INAUGURAL,01,23,"We have never, ever, ever, ever failed in America when we have acted together.",0,14,78,1,4.2
biden_inaugural_01_024,Biden,INAUGURAL,01,24,"And so today, at this time, in this place, let's start afresh, all of us. Let's begin to listen to one another, hear one another, see one another, show respect to one another. Politics doesn't have to be a raging fire destroying everything in its path.",0,46,252,3,13.8
biden_inaugural_01_025,Biden,INAUGURAL,01,25,"Every disagreement doesn't have to be a cause for total war. And we must reject the culture in which facts themselves are manipulated and even manufactured. My fellow Americans, we have to be different than this.",0,36,212,3,10.8
biden_inaugural_01_026,Biden,INAUGURAL,01,26,America has to be better than this. And I believe America is so much better than this. Just look around.,0,20,104,3,6.0
biden_inaugural_01_027,Biden,INAUGURAL,01,27,"Here we stand, in the shadow of the Capitol dome, as was mentioned earlier, completed amid the Civil War, when the Union itself was literally hanging in the balance. Yet we endured, we prevailed. Here we stand looking out on the great Mall where Dr.",0,45,249,3,13.5
biden_inaugural_01_028,Biden,INAUGURAL,01,28,"King spoke of his dream. Here we stand, where 108 years ago, at another Inaugural, thousands of protesters tried to block brave women marching for the right to vote. And today we mark the swearing-in of the first woman in American history elected to national office: Vice President Kamala Harris.",0,50,296,3,15.0
biden_inaugural_01_029,Biden,INAUGURAL,01,29,"Don't tell me things can't change. Here we stand across the Potomac from Arlington Cemetery, where heroes who gave the last full measure of devotion rest in eternal peace. And here we stand, just days after a riotous mob thought they could use violence to silence the will of the people, to stop the work of our democracy, to drive us from this sacred ground.",0,65,359,3,19.5
biden_inaugural_01_030,Biden,INAUGURAL,01,30,"It did not happen. It will never happen, not today, not tomorrow, not ever—not ever.",0,15,84,2,4.5
biden_inaugural_01_031,Biden,INAUGURAL,01,31,"To all those who supported our campaign, I am humbled by the faith you've placed in us.",0,17,87,1,5.1
biden_inaugural_01_032,Biden,INAUGURAL,01,32,"To all those who did not support us, let me say this: Hear me out as we move forward. Take a measure of me and my heart. And if you still disagree, so be it.",0,35,157,3,10.5
biden_inaugural_01_033,Biden,INAUGURAL,01,33,"That's democracy. That's America. The right to dissent peaceably, within the guardrails of our Republic, is perhaps this Nation's greatest strength.",0,21,148,3,6.3
biden_inaugural_01_034,Biden,INAUGURAL,01,34,"Yet hear me clearly: Disagreement must not lead to disunion. And I pledge this to you: I will be a President for all Americans—all Americans. And I promise you, I will fight as hard for those who did not support me as for those who did.",0,46,236,3,13.8
