id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
biden_sotu_02_001,Biden,SOTU,02,1,"JOSEPH R. BIDEN, JR. Address to a Joint Session of Congress March 7, 2024 Mr.",0,15,77,3,4.5
biden_sotu_02_002,Biden,SOTU,02,2,"Speaker—— [At this point, the President turned to face audience members. ] Thank you. You can smile.",0,17,100,3,5.1
biden_sotu_02_003,Biden,SOTU,02,3,"It's okay. Thank you, thank you, thank you. Thank you.",0,10,54,3,3.0
biden_sotu_02_004,Biden,SOTU,02,4,"Please. Mr. Speaker, Madam Vice President, our First Lady and Second Gentleman —good to see you guys up there—[applause ]—Members of Congress.",0,22,142,3,6.6
biden_sotu_02_005,Biden,SOTU,02,5,"and by the way, Chief Justice, I may need a court order. She gets to go to the game tomorrow—next week.",0,21,103,2,6.3
biden_sotu_02_006,Biden,SOTU,02,6,"I have to stay home. [Laughter] We've got to work something out here. Members of the Cabinet, leaders of our military, Chief Justice, Associate Justices, and retired Justices of the Supreme Court, and to you, my fellow Americans: You know, I start tonight by congratulating the 118th Congress and the new Speaker of the House, Kevin McCarthy.",0,57,342,3,17.1
biden_sotu_02_007,Biden,SOTU,02,7,"Speaker, I don't want to ruin your reputation, but I look forward to working with you. [Laughter] And I want to congratulate the new leader of the House Democrats, the first African American minority leader in history, Hakeem Jeffries. He won in spite of the fact I campaigned for him.",0,50,285,3,15.0
biden_sotu_02_008,Biden,SOTU,02,8,"[Laughter] Congratulations to the longest serving leader in the history of the United States Senate, Mitch McConnell. Where are you, Mitch? And congratulations to Chuck Schumer, another—you know, another term as Senate minority [majority; White House correction] leader.",0,38,270,3,11.4
biden_sotu_02_009,Biden,SOTU,02,9,"You know, I think you—only this time you have a slightly bigger majority, Mr. Leader. And you're the majority leader.",0,20,117,3,6.0
biden_sotu_02_010,Biden,SOTU,02,10,"About that much bigger? [Laughter] Yes. Well, I tell you what, I want to give special recognition to someone who I think is going to be considered the greatest Speaker in the history of the House of Representatives: Nancy Pelosi.",0,40,229,3,12.0
biden_sotu_02_011,Biden,SOTU,02,11,"Folks, the story of America is a story of progress and resilience, of always moving forward, of never, ever giving up. It's a story unique among all nations. We're the only country that has emerged from every crisis we've ever entered stronger than we got into it.",0,47,264,3,14.1
biden_sotu_02_012,Biden,SOTU,02,12,"Look, folks, that's what we're doing again. Two years ago, the economy was reeling. I stand here tonight, after we've created, with the help of many people in this room, 12 million new jobs— more jobs created in 2 years than any President has created in 4 years— because of you all, because of the American people.",0,57,314,3,17.1
biden_sotu_02_013,Biden,SOTU,02,13,"Two years ago—[applause ]. And 2 years ago, COVID had shut down—our businesses were closed, our schools were robbed of so much. And today, COVID no longer controls our lives.",0,30,174,3,9.0
biden_sotu_02_014,Biden,SOTU,02,14,"And 2 years ago, our democracy faced its greatest threat since the Civil War. And today, though bruised, our democracy remains unbowed and unbroken.",0,24,148,2,7.2
biden_sotu_02_015,Biden,SOTU,02,15,"As we gather here tonight, we're writing the next chapter in the great American story, a story of progress and resilience.",0,21,122,1,6.3
biden_sotu_02_016,Biden,SOTU,02,16,"When world leaders ask me to define America—and they do, believe it or not—I say I can define it in one word, and I mean this: possibilities. We don't think anything is beyond our capacity. Everything is a possibility.",0,39,218,3,11.7
biden_sotu_02_017,Biden,SOTU,02,17,"You know, we're often told that Democrats and Republicans can't work together.",0,12,78,1,3.6
biden_sotu_02_018,Biden,SOTU,02,18,"But over the past 2 years, we've proved the cynics and naysayers wrong. Yes, we disagreed plenty. And yes, there were times when Democrats went alone.",0,26,150,3,7.8
biden_sotu_02_019,Biden,SOTU,02,19,"But time and again, Democrats and Republicans came together. Came together to defend a stronger and safer Europe. You came together to pass one-in-a-generation—once-in-a-generation infrastructure law building bridges connecting our Nation and our people.",0,34,254,3,10.2
biden_sotu_02_020,Biden,SOTU,02,20,"We came together to pass one the most significant law ever helping victims exposed to toxic burn pits. And, in fact—[applause ]. It's important.",0,24,144,3,7.2
biden_sotu_02_021,Biden,SOTU,02,21,"And, in fact, I signed over 300 bipartisan pieces of legislation since becoming President, from reauthorizing the Violence Against Women Act to the Electoral Count Reform Act, the Respect for Marriage Act that protects the right to marry the person you love. And to my Republican friends, if we could work together in the last Congress, there's no reason we can't work together and find consensus on important things in this Congress as well. I think—folks, you all are as informed as I am, but I think the people sent us a clear message: Fighting for the sake of fighting, power for the sake of power, conflict for the sake of conflict gets us nowhere.",0,115,653,3,34.5
biden_sotu_02_022,Biden,SOTU,02,22,"That's always been my vision of our country, and I know it's many of yours: to restore the soul of this Nation; to rebuild the backbone of America, America's middle class; and to unite the country. We've been sent here to finish the job, in my view.",0,47,249,2,14.1
biden_sotu_02_023,Biden,SOTU,02,23,"For decades, the middle class has been hollowed out in more than—and not in one administration, but for a long time. Too many good-paying manufacturing jobs moved overseas. Factories closed down.",0,31,195,3,9.3
biden_sotu_02_024,Biden,SOTU,02,24,"Once-thriving cities and towns that many of you represent became shadows of what they used to be. And along the way, something else we lost: pride, our sense of self-worth. I ran for President to fundamentally change things.",0,38,224,3,11.4
biden_sotu_02_025,Biden,SOTU,02,25,To make sure our economy works for everyone so we can all feel that pride in what we do.,0,19,88,1,5.7
