id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
bush_sotu_01_001,Bush,SOTU,01,1,"GEORGE W. BUSH Address to a Joint Session of Congress January 28, 2003 Thank you all. Mr.",0,17,89,3,5.1
bush_sotu_01_002,Bush,SOTU,01,2,"Speaker, Vice President Cheney, Members of Congress, members of the Supreme Court and diplomatic corps, distinguished guests, and fellow citizens: Today our Nation lost a beloved, graceful, courageous woman who called America to its founding ideals and carried on a noble dream.",0,42,278,1,12.6
bush_sotu_01_003,Bush,SOTU,01,3,"Tonight we are comforted by the hope of a glad reunion with the husband who was taken so long ago, and we are grateful for the good life of Coretta Scott King. Every time I'm invited to this rostrum, I'm humbled by the privilege and mindful of the history we've seen together.",0,52,276,2,15.6
bush_sotu_01_004,Bush,SOTU,01,4,We have gathered under this Capitol dome in moments of national mourning and national achievement.,0,15,98,1,4.5
bush_sotu_01_005,Bush,SOTU,01,5,"We have served America through one of the most consequential periods of our history, and it has been my honor to serve with you. In a system of two parties, two chambers, and two elected branches, there will always be differences and debate.",0,43,241,2,12.9
bush_sotu_01_006,Bush,SOTU,01,6,"But even tough debates can be conducted in a civil tone, and our differences cannot be allowed to harden into anger.",0,21,116,1,6.3
bush_sotu_01_007,Bush,SOTU,01,7,"To confront the great issues before us, we must act in a spirit of good will and respect for one another, and I will do my part.",0,27,128,1,8.1
bush_sotu_01_008,Bush,SOTU,01,8,"Tonight the state of our Union is strong, and together we will make it stronger. In this decisive year, you and I will make choices that determine both the future and the character of our country.",0,36,196,2,10.8
bush_sotu_01_009,Bush,SOTU,01,9,"We will choose to act confidently in pursuing the enemies of freedom, or retreat from our duties in the hope of an easier life.",0,24,127,1,7.2
bush_sotu_01_010,Bush,SOTU,01,10,"We will choose to build our prosperity by leading the world economy, or shut ourselves off from trade and opportunity. In a complex and challenging time, the road of isolationism and protectionism may seem broad and inviting, yet it ends in danger and decline. The only way to protect our people, the only way to secure the peace, the only way to control our destiny is by our leadership.",0,69,388,3,20.7
