id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
obama_sotu_01_001,Obama,SOTU,01,1,"BARACK OBAMA Address to a Joint Session of Congress January 24, 2012 Mr. Speaker, Mr. Vice President, Members of Congress, my fellow Americans: We are 15 years into this new century.",0,31,182,3,9.3
obama_sotu_01_002,Obama,SOTU,01,2,"Fifteen years that dawned with terror touching our shores, that unfolded with a new generation fighting two long and costly wars, that saw a vicious recession spread across our Nation and the world. It has been and still is a hard time for many.",0,44,245,2,13.2
obama_sotu_01_003,Obama,SOTU,01,3,"But tonight we turn the page. Tonight, after a breakthrough year for America, our economy is growing and creating jobs at the fastest pace since 1999. Our unemployment rate is now lower than it was before the financial crisis.",0,39,226,3,11.7
obama_sotu_01_004,Obama,SOTU,01,4,More of our kids are graduating than ever before. More of our people are insured than ever before. And we are as free from the grip of foreign oil as we've been in almost 30 years.,0,36,180,3,10.8
obama_sotu_01_005,Obama,SOTU,01,5,"Tonight, for the first time since 9/11, our combat mission in Afghanistan is over. Six years ago, nearly 180,000 American troops served in Iraq and Afghanistan. Today, fewer than 15,000 remain.",0,31,193,3,9.3
obama_sotu_01_006,Obama,SOTU,01,6,"And we salute the courage and sacrifice of every man and woman in this 9/11 generation who has CK-OBAMA) America, for all that we have endured, for all the grit and hard work required to come back, for all the tasks that lie ahead, know this: The shadow of crisis has passed, and the State of the Union is strong. At this moment—with a growing economy, shrinking deficits, bustling industry, booming energy production—we have risen from recession freer to write our own future than any other nation on Earth. It's now up to us to choose who we want to be over the next 15 years and for decades to come.",0,111,602,3,33.3
obama_sotu_01_007,Obama,SOTU,01,7,"Will we accept an economy where only a few of us do spectacularly well? Or will we commit ourselves to an economy that generates rising incomes and chances for everyone who makes the effort? Will we approach the world fearful and reactive, dragged into costly conflicts that strain our military and set back our standing?",0,55,321,3,16.5
obama_sotu_01_008,Obama,SOTU,01,8,"Or will we lead wisely, using all elements of our power to defeat new threats and protect our planet? Will we allow ourselves to be sorted into factions and turned against one another? Or will we recapture the sense of common purpose that has always propelled America forward?",0,48,276,3,14.4
obama_sotu_01_009,Obama,SOTU,01,9,"In 2 weeks, I will send this Congress a budget filled with ideas that are practical, not partisan. And in the months ahead, I'll crisscross the country making a case for those ideas. So tonight I want to focus less on a checklist of proposals and focus more on the values at stake in the choices before us.",0,58,306,3,17.4
obama_sotu_01_010,Obama,SOTU,01,10,"It begins with our economy. Seven years ago, Rebekah and Ben Erler of Minneapolis were newlyweds. [Laughter] She waited tables.",0,20,127,3,6.0
