id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
trump_inaugural_01_001,Trump,INAUGURAL,01,1,"DONALD J. TRUMP Inaugural Address January 20, 2025 Thank you. Thank you very much, everybody.",0,15,93,3,4.5
trump_inaugural_01_002,Trump,INAUGURAL,01,2,"[Applause] Wow. Thank you very, very much. Vice President Vance, Speaker Johnson, Senator Thune, Chief Justice Roberts, Justices of the Supreme Court of the United States, President Clinton, President Bush, President Obama, President Biden, Vice President Harris, and my fellow citizens: The golden age of America begins right now.",0,49,331,3,14.7
trump_inaugural_01_003,Trump,INAUGURAL,01,3,"From this day forward, our country will flourish and be respected again all over the world.",0,16,91,1,4.8
trump_inaugural_01_004,Trump,INAUGURAL,01,4,"We will be the envy of every nation, and we will not allow ourselves to be taken advantage of any longer. During every single day of the Trump administration, I will, very simply, put America first. Our sovereignty will be reclaimed.",0,41,233,3,12.3
trump_inaugural_01_005,Trump,INAUGURAL,01,5,"Our safety will be restored. The scales of justice will be rebalanced. The vicious, violent, and unfair weaponization of the Justice Department and our Government will end.",0,27,172,3,8.1
trump_inaugural_01_006,Trump,INAUGURAL,01,6,"And our top priority will be to create a nation that is proud, prosperous, and free.",0,16,84,1,4.8
trump_inaugural_01_007,Trump,INAUGURAL,01,7,"America will soon be greater, stronger, and far more exceptional than ever before. I return to the Presidency confident and optimistic that we are at the start of a thrilling new era of national success. A tide of change is sweeping the country, sunlight is pouring over the entire world, and America has the chance to seize this opportunity like never before.",0,62,360,3,18.6
trump_inaugural_01_008,Trump,INAUGURAL,01,8,"But first, we must be honest about the challenges we face. While they are plentiful, they will be annihilated by this great momentum that the world is now witnessing in the United States of America.",0,35,198,2,10.5
trump_inaugural_01_009,Trump,INAUGURAL,01,9,"As we gather today, our Government confronts a crisis of trust.",0,11,63,1,3.3
trump_inaugural_01_010,Trump,INAUGURAL,01,10,"For many years, a radical and corrupt establishment has extracted power and wealth from our citizens while the pillars of our society lay broken and seemingly in complete disrepair. We now have a Government that cannot manage even a simple crisis at home while, at the same time, stumbling into a continuing catalogue of catastrophic events abroad. It fails to protect our magnificent, law-abiding American citizens, but provides sanctuary and protection for dangerous criminals, many from prisons and mental institutions, that have illegally entered our country from all over the world.",0,91,587,3,27.3
trump_inaugural_01_011,Trump,INAUGURAL,01,11,"We have a Government that has given unlimited funding to the defense of foreign borders, but refuses to defend American borders or, more importantly, its own people.",0,27,165,1,8.1
trump_inaugural_01_012,Trump,INAUGURAL,01,12,"Our country can no longer deliver basic services in times of emergency, as recently shown by the wonderful people of North Carolina—who have been treated so badly—and other States who are still suffering from a hurricane that took place many months ago or, more recently, Los Angeles, where we are watching fires still tragically burn from weeks ago without even a token of defense. They're raging through the houses and communities, even affecting some of the wealthiest and most powerful individuals in our country, some of whom are sitting here right now. They don't have a home any longer.",0,99,593,3,29.7
trump_inaugural_01_013,Trump,INAUGURAL,01,13,But we can't let this happen. Everyone is unable to do anything about it. That's going to change.,0,18,97,3,5.4
trump_inaugural_01_014,Trump,INAUGURAL,01,14,"We have a public health system that does not deliver in times of disaster, yet more money is spent on it than any country anywhere in the world. And we have an education system that teaches our children to be ashamed of themselves, in many cases, to hate our country despite the love that we try so desperately to provide to them. All of this will change starting today, and it will change very quickly.",0,75,403,3,22.5
trump_inaugural_01_015,Trump,INAUGURAL,01,15,"My recent election is a mandate to completely and totally reverse a horrible betrayal and all of these many betrayals that have taken place and to give the people back their faith, their wealth, their democracy, and indeed, their freedom. From this moment on, America's decline is over. Our liberties and our Nation's glorious destiny will no longer be denied.",0,60,360,3,18.0
trump_inaugural_01_016,Trump,INAUGURAL,01,16,"And we will immediately restore the integrity, competency, and loyalty of America's Government. Over the past 8 years, I have been tested and challenged more than any President in our 250-year history, and I've learned a lot along the way. The journey to reclaim our Republic has not been an easy one, that I can tell you.",0,57,322,3,17.1
trump_inaugural_01_017,Trump,INAUGURAL,01,17,"Those who wish to stop our cause have tried to take my freedom and, indeed, to take my life. Just a few months ago, in a beautiful Pennsylvania field, an assassin's bullet ripped through my ear.",0,36,194,2,10.8
trump_inaugural_01_018,Trump,INAUGURAL,01,18,But I felt then and believe even more so now that my life was saved for a reason. I was saved by God to make America great again. [Applause] Thank you.,0,31,151,3,9.3
trump_inaugural_01_019,Trump,INAUGURAL,01,19,Thank you. Thank you very much.,0,6,31,2,1.8
trump_inaugural_01_020,Trump,INAUGURAL,01,20,"That is why each day under our administration of American patriots, we will be working to meet every crisis with dignity and power and strength.",0,25,144,1,7.5
trump_inaugural_01_021,Trump,INAUGURAL,01,21,"We will move with purpose and speed to bring back hope, prosperity, safety, and peace for citizens of every race, religion, color, and creed.",0,24,141,1,7.2
trump_inaugural_01_022,Trump,INAUGURAL,01,22,"For American citizens, January 20, 2025, is liberation day. It is my hope that our recent Presidential election will be remembered as the greatest and most consequential election in the history of our country. As our victory showed, the entire nation is rapidly unifying behind our agenda with dramatic increases in support from virtually every element of our society: young and old, men and women, African Americans, Hispanic Americans, Asian Americans, urban, suburban, rural.",0,74,478,3,22.2
trump_inaugural_01_023,Trump,INAUGURAL,01,23,"And very importantly, we had a powerful win in all seven swing States—[applause]—and the popular vote, we won by millions of people.",0,22,132,1,6.6
trump_inaugural_01_024,Trump,INAUGURAL,01,24,"To the Black and Hispanic communities, I want to thank you for the tremendous outpouring of love and trust that you have shown me with your vote. We set records, and I will not forget it. I've heard your voices in the campaign, and I look forward to working with you in the years to come.",0,56,288,3,16.8
trump_inaugural_01_025,Trump,INAUGURAL,01,25,Today is Martin Luther King Day. And his honor—this will be a great honor.,0,14,74,2,4.2
trump_inaugural_01_026,Trump,INAUGURAL,01,26,"But in his honor, we will strive together to make his dream a reality.",0,14,70,1,4.2
trump_inaugural_01_027,Trump,INAUGURAL,01,27,We will make his dream come true. [Applause] Thank you. Thank you.,0,12,66,3,3.6
trump_inaugural_01_028,Trump,INAUGURAL,01,28,"Thank you. National unity is now returning to America, and confidence and pride is soaring like never before. In everything we do, my administration will be inspired by a strong pursuit of excellence and unrelenting success.",0,36,224,3,10.8
trump_inaugural_01_029,Trump,INAUGURAL,01,29,"We will not forget our country, we will not forget our Constitution, and we will not forget our God. [Applause] Can't do that.",0,23,126,2,6.9
trump_inaugural_01_030,Trump,INAUGURAL,01,30,"Today I will sign a series of historic Executive orders. With these actions, we will begin the complete restoration of America and the revolution of common sense. It's all about common sense.",0,32,191,3,9.6
trump_inaugural_01_031,Trump,INAUGURAL,01,31,"First, I will declare a national emergency at our southern border. All illegal entry will immediately be halted, and we will begin the process of returning millions and millions of criminal aliens back to the places from which they came.",0,40,237,2,12.0
trump_inaugural_01_032,Trump,INAUGURAL,01,32,"We will reinstate my ""Remain in Mexico"" policy.",0,8,47,1,2.4
trump_inaugural_01_033,Trump,INAUGURAL,01,33,"I will end the practice of catch-and-release. And I will send troops to the southern border to repel the disastrous invasion of our country. Under the orders I sign today, we will also be designating the cartels as foreign terrorist organizations.",0,41,247,3,12.3
trump_inaugural_01_034,Trump,INAUGURAL,01,34,"And by invoking the Alien Enemies Act of 1798, I will direct our Government to use the full and immense power of Federal and State law enforcement to eliminate the presence of all foreign gangs and criminal networks bringing devastating crime to U.S. soil, including our cities and inner cities. As Commander in Chief, I have no higher responsibility than to defend our country from threats and invasions, and that is exactly what I am going to do.",0,78,448,4,23.4
trump_inaugural_01_035,Trump,INAUGURAL,01,35,"We will do it at a level that nobody has ever seen before. Next, I will direct all members of my Cabinet to marshal the vast powers at their disposal to defeat what was record inflation and rapidly bring down costs and prices. The inflation crisis was caused by massive overspending and escalating energy prices, and that is why today I will also declare a national energy emergency.",0,68,383,3,20.4
trump_inaugural_01_036,Trump,INAUGURAL,01,36,"We will drill, baby, drill.",0,5,27,1,1.5
trump_inaugural_01_037,Trump,INAUGURAL,01,37,"America will be a manufacturing nation once again, and we have something that no other manufacturing nation will ever have, the largest amount of oil and gas of any country on earth, and we are going to use it. We'll use it.",0,42,224,2,12.6
trump_inaugural_01_038,Trump,INAUGURAL,01,38,"We will bring prices down, fill our strategic reserves up again right to the top, and export American energy all over the world.",0,23,128,1,6.9
trump_inaugural_01_039,Trump,INAUGURAL,01,39,"We will be a rich nation again, and it is that liquid gold under our feet that will help to do it. With my actions today, we will end the ""green new deal,"" and we will revoke the electric vehicle mandate, saving our auto industry and keeping my sacred pledge to our great American autoworkers. In other words, you'll be able to buy the car of your choice.",0,68,355,3,20.4
trump_inaugural_01_040,Trump,INAUGURAL,01,40,We will build automobiles in America again at a rate that nobody could have dreamt possible just a few years ago. And thank you to the autoworkers of our Nation for your inspiring vote of confidence. We did tremendously with their vote.,0,42,236,3,12.6
trump_inaugural_01_041,Trump,INAUGURAL,01,41,"I will immediately begin the overhaul of our trade system to protect American workers and families. Instead of taxing our citizens to enrich other countries, we will tariff and tax foreign countries to enrich our citizens.",0,36,222,2,10.8
trump_inaugural_01_042,Trump,INAUGURAL,01,42,"For this purpose, we are establishing the External Revenue Service to collect all tariffs, duties, and revenues. It will be massive amounts of money pouring into our Treasury, coming from foreign sources. The American dream will soon be back and thriving like never before.",0,44,273,3,13.2
trump_inaugural_01_043,Trump,INAUGURAL,01,43,"To restore competence and effectiveness to our Federal Government, my administration will establish the brandnew Department of Government Efficiency.",0,19,149,1,5.7
trump_inaugural_01_044,Trump,INAUGURAL,01,44,"After years and years of illegal and unconstitutional Federal efforts to restrict free expression, I also will sign an Executive order to immediately stop all Government censorship and bring back free speech to America. Never again will the immense power of the state be weaponized to persecute political opponents, something I know something about. [Laughter] We will not allow that to happen.",0,62,394,3,18.6
trump_inaugural_01_045,Trump,INAUGURAL,01,45,"It will not happen again. Under my leadership, we will restore fair, equal, and impartial justice under the constitutional rule of law. And we are going to bring law and order back to our cities.",0,35,195,3,10.5
trump_inaugural_01_046,Trump,INAUGURAL,01,46,"This week, I will also end the Government policy of trying to socially engineer race and gender into every aspect of public and private life.",0,25,141,1,7.5
trump_inaugural_01_047,Trump,INAUGURAL,01,47,"We will forge a society that is colorblind and merit based. As of today, it will henceforth be the official policy of the United States Government that there are only two genders: male and female. This week, I will reinstate any servicemembers who were unjustly expelled from our military for objecting to the COVID vaccine mandate with full backpay.",0,59,350,3,17.7
trump_inaugural_01_048,Trump,INAUGURAL,01,48,And I will sign an order to stop our warriors from being subjected to radical political theories and social experiments while on duty. It's going to end immediately. Our Armed Forces will be freed to focus on their sole mission: defeating America's enemies.,0,43,257,3,12.9
trump_inaugural_01_049,Trump,INAUGURAL,01,49,"Like in 2017, we will again build the strongest military the world has ever seen.",0,15,81,1,4.5
trump_inaugural_01_050,Trump,INAUGURAL,01,50,"We will measure our success not only by the battles we win, but also by the wars that we end and, perhaps most importantly, the wars we never get into. My proudest legacy will be that of a peacemaker and unifier. That's what I want to be: a peacemaker and a unifier.",0,52,266,3,15.6
trump_inaugural_01_051,Trump,INAUGURAL,01,51,"I'm pleased to say that as of yesterday, 1 day before I assumed office, the hostages in the Middle East are coming back home to their families. [Applause] Thank you.",0,30,165,2,9.0
trump_inaugural_01_052,Trump,INAUGURAL,01,52,"America will reclaim its rightful place as the greatest, most powerful, most respected nation on Earth, inspiring the awe and admiration of the entire world. A short time from now, we are going to be changing the name of the Gulf of Mexico to the Gulf of America, and we will restore the name of a great President, William McKinley, to Mount McKinley, where it should be and where it belongs. President McKinley made our country very rich through tariffs and through talent—he was a natural businessman—and gave Teddy Roosevelt the money for many of the great things he did, including the Panama Canal, which has foolishly been given to the country of Panama after the United States—the United States—I mean, think of this—spent more money than ever spent on a project before and lost 38,000 lives in the building of the Panama Canal.",0,144,834,3,43.2
trump_inaugural_01_053,Trump,INAUGURAL,01,53,"We have been treated very badly from this foolish gift that should have never been made, and Panama's promise to us has been broken. The purpose of our deal and the spirit of our treaty has been totally violated. American ships are being severely overcharged and not treated fairly in any way, shape, or form.",0,55,309,3,16.5
trump_inaugural_01_054,Trump,INAUGURAL,01,54,"And that includes the United States Navy. And above all, China is operating the Panama Canal. And we didn't give it to China.",0,23,125,3,6.9
trump_inaugural_01_055,Trump,INAUGURAL,01,55,"We gave it to Panama, and we're taking it back. Above all, my message to Americans today is that it is time for us to once again act with courage, vigor, and the vitality of history's greatest civilization. So, as we liberate our Nation, we will lead it to new heights of victory and success.",0,55,292,3,16.5
trump_inaugural_01_056,Trump,INAUGURAL,01,56,"We will not be deterred. Together, we will end the chronic disease epidemic and keep our children safe, healthy, and disease-free.",0,21,130,2,6.3
trump_inaugural_01_057,Trump,INAUGURAL,01,57,"The United States will once again consider itself a growing nation, one that increases our wealth, expands our territory, builds our cities, raises our expectations, and carries our flag into new and beautiful horizons. And we will pursue our manifest destiny into the stars, launching American astronauts to plant the Stars and Stripes on the planet Mars. Ambition is the lifeblood of a great nation, and, right now, our Nation is more ambitious than any other.",0,76,462,3,22.8
trump_inaugural_01_058,Trump,INAUGURAL,01,58,"There's no nation like our Nation. Americans are explorers, builders, innovators, entrepreneurs, and pioneers. The spirit of the frontier is written into our hearts.",0,24,165,3,7.2
trump_inaugural_01_059,Trump,INAUGURAL,01,59,The call of the next great adventure resounds from within our souls. Our American ancestors turned a small group of colonies on the edge of a vast continent into a mighty republic of the most extraordinary citizens on Earth. No one comes close.,0,43,244,3,12.9
trump_inaugural_01_060,Trump,INAUGURAL,01,60,"Americans pushed thousands of miles through a rugged land of untamed wilderness. They crossed deserts, scaled mountains, braved untold dangers, won the Wild West, ended slavery, rescued millions from tyranny, lifted billions from poverty, harnessed electricity, split the atom, launched mankind into the heavens, and put the universe of human knowledge into the palm of the human hand. If we work together, there is nothing we cannot do and no dream we cannot achieve.",0,74,468,3,22.2
