id,president,speech_type,sequence,paragraph_id,content,is_applause,word_count,char_count,sentence_count,reading_time_seconds
trump_sotu_02_001,Trump,SOTU,02,1,"DONALD J. TRUMP Address to a Joint Session of Congress February 4, 2020 Madam Speaker, Mr. Vice President, Members of Congress, the First Lady of the United States, and my fellow Americans: We meet tonight at a moment of unlimited potential.",0,41,241,3,12.3
trump_sotu_02_002,Trump,SOTU,02,2,"As we begin a new Congress, I stand here ready to work with you to achieve historic breakthroughs for all Americans. Millions of our fellow citizens are watching us now, gathered in this great Chamber, hoping that we will govern not as two parties, but as one Nation. The agenda I will lay out this evening is not a Republican agenda or a Democrat agenda.",0,65,355,3,19.5
trump_sotu_02_003,Trump,SOTU,02,3,"It's the agenda of the American people. Many of us have campaigned on the same core promises: to defend American jobs and demand fair trade for American workers; to rebuild and revitalize our Nation's infrastructure; to reduce the price of health care and prescription drugs; to create an immigration system that is safe, lawful, modern, and secure; and to pursue a foreign policy that puts America's interests first. DONALD J.",0,70,427,3,21.0
trump_sotu_02_004,Trump,SOTU,02,4,"TRUMP (1ST There is a new opportunity in American politics, if only we have the courage, together, to seize it. Victory is not winning for our party, victory is winning for our country. This year, America will recognize two important anniversaries that show us the majesty of America's mission and the power of American pride.",0,55,326,3,16.5
trump_sotu_02_005,Trump,SOTU,02,5,"In June, we mark 75 years since the start of what General Dwight D. Eisenhower called the Great Crusade, the Allied liberation of Europe in World War II. On D-day, June 6, 1944, 15,000 young American men jumped from the sky, and 60,000 more stormed in from the sea, to save our civilization from tyranny.",0,55,304,3,16.5
trump_sotu_02_006,Trump,SOTU,02,6,"Here with us tonight are three of those incredible heroes: Private First Class Joseph Reilly, Staff Sergeant Irving Locker, and Sergeant Herman Zeitchik. Please. Gentlemen, we salute you.",0,28,187,3,8.4
trump_sotu_02_007,Trump,SOTU,02,7,"In 2019, we also celebrate 50 years since brave young pilots flew a quarter of a million miles through space to plant the American flag on the face of the Moon. Half a century later, we are joined by one of the Apollo 11 astronauts who planted that flag: Buzz Aldrin. Thank you, Buzz.",0,54,284,3,16.2
trump_sotu_02_008,Trump,SOTU,02,8,"This year, American astronauts will go back to space on American rockets. In the 20th century, America saved freedom, transformed science, redefined the middle class, and when you get down to it, there's nothing anywhere in the world that can compete with America.",0,43,264,2,12.9
trump_sotu_02_009,Trump,SOTU,02,9,"Now we must step boldly and bravely into the next chapter of this great American adventure, and we must create a new standard of living for the 21st century. An amazing quality of life for all of our citizens is within reach. We can make our communities safer, our families stronger, our culture richer, our faith deeper, and our middle class bigger and more prosperous than ever before.",0,68,387,3,20.4
trump_sotu_02_010,Trump,SOTU,02,10,"But we must reject the politics of revenge, resistance, and retribution, and embrace the boundless potential of cooperation, compromise, and the common good. Together, we can break decades of political stalemate. We can bridge old divisions, heal old wounds, build new coalitions, forge new solutions, and unlock the extraordinary promise of America's future.",0,53,359,3,15.9
trump_sotu_02_011,Trump,SOTU,02,11,The decision is ours to make.,0,6,29,1,1.8
trump_sotu_02_012,Trump,SOTU,02,12,"We must choose between greatness or gridlock, results or resistance, vision or vengeance, incredible progress or pointless destruction.",0,18,135,1,5.4
trump_sotu_02_013,Trump,SOTU,02,13,"Tonight I ask you to choose greatness. Over the last 2 years, my administration has moved with urgency and historic speed to confront problems neglected by leaders of both parties over many decades. In just over 2 years since the election, we have launched an unprecedented economic boom, a boom that has rarely been seen before.",0,56,329,3,16.8
trump_sotu_02_014,Trump,SOTU,02,14,There's been nothing like it.,0,5,29,1,1.5
trump_sotu_02_015,Trump,SOTU,02,15,"We have created 5.3 million new jobs and, importantly, added 600,000 new manufacturing jobs, something which almost everyone said was impossible to do.",0,23,151,2,6.9
trump_sotu_02_016,Trump,SOTU,02,16,"But the fact is, we are just getting started. Wages are rising at the fastest pace in decades and growing for blue-collar workers, who I promised to fight for. They're growing faster than anyone else thought possible.",0,37,217,3,11.1
trump_sotu_02_017,Trump,SOTU,02,17,Nearly 5 million Americans have been lifted off food stamps. The U.S. economy is growing almost twice as fast today as when I took office.,0,25,138,4,7.5
trump_sotu_02_018,Trump,SOTU,02,18,"And we are considered, far and away, the hottest economy anywhere in the world. Not even close. Unemployment has reached the lowest rate in over half a century.",0,28,160,3,8.4
trump_sotu_02_019,Trump,SOTU,02,19,"African American, Hispanic American, and Asian American unemployment have all reached their lowest levels ever recorded. Unemployment for Americans with disabilities has also reached an alltime low. More people are working now than at any time in the history of our country: 157 million people at work.",0,47,302,3,14.1
trump_sotu_02_020,Trump,SOTU,02,20,"We passed a massive tax cut for working families and doubled the child tax credit. We virtually ended the estate tax—or death tax, as it is often called— on small businesses, for ranchers, and also for family farms. We eliminated the very unpopular Obamacare individual mandate penalty.",0,47,286,3,14.1
trump_sotu_02_021,Trump,SOTU,02,21,"And to give critically ill patients access to lifesaving cures, we passed, very importantly, ""right to try."" My administration has cut more regulations in a short period of time than any other administration during its entire tenure. Companies are coming back to our country in large numbers thanks to our historic reductions in taxes and regulations. And we have unleashed a revolution in American energy.",0,65,406,4,19.5
trump_sotu_02_022,Trump,SOTU,02,22,"The United States is now the number-one producer of oil and natural gas anywhere in the world. And now, for the first time in 65 years, we are a net exporter of energy.",0,33,168,2,9.9
trump_sotu_02_023,Trump,SOTU,02,23,"After 24 months of rapid progress, our economy is the envy of the world, our military is the most powerful on Earth, by far, and America is again winning each and every day. Members of Congress: The state of our union is strong. Audience members.",0,45,246,3,13.5
trump_sotu_02_024,Trump,SOTU,02,24,"The President. That sounds so good. [Laughter] Our country is vibrant, and our economy is thriving like never before.",0,19,117,3,5.7
trump_sotu_02_025,Trump,SOTU,02,25,"On Friday, it was announced that we added another 304,000 jobs last month alone, almost double the number expected. An economic miracle is taking place in the United States, and the only thing that can stop it are foolish wars, politics, or ridiculous, partisan investigations. If there is going to be peace and legislation, there cannot be war and investigation.",0,60,363,3,18.0
trump_sotu_02_026,Trump,SOTU,02,26,[Laughter] It just doesn't work that way.,0,7,41,1,2.1
trump_sotu_02_027,Trump,SOTU,02,27,"We must be united at home to defeat our adversaries abroad. This new era of cooperation can start with finally confirming the more than 300 highly qualified nominees who are still stuck in the Senate, in some cases, years and years waiting. Not right.",0,44,251,3,13.2
trump_sotu_02_028,Trump,SOTU,02,28,"The Senate has failed to act on these nominations, which is unfair to the nominees and very unfair to our country.",0,21,114,1,6.3
trump_sotu_02_029,Trump,SOTU,02,29,"Now is the time for bipartisan action. Believe it or not, we have already proven that that's possible. In the last Congress, both parties came together to pass unprecedented legislation to confront the opioid crisis, a sweeping new farm bill, historic VA reforms.",0,43,263,3,12.9
trump_sotu_02_030,Trump,SOTU,02,30,"And after four decades of rejection, we passed VA Accountability so that we can finally terminate those who mistreat our wonderful veterans. And just weeks ago, both parties united for groundbreaking criminal justice reform. They said it couldn't be done.",0,40,255,3,12.0
trump_sotu_02_031,Trump,SOTU,02,31,"Last year, I heard, through friends, the story of Alice Johnson. I was deeply moved. In 1997, Alice was sentenced to life in prison as a first-time nonviolent drug offender.",0,30,173,3,9.0
trump_sotu_02_032,Trump,SOTU,02,32,"Over the next 22 years, she became a prison minister, inspiring others to choose a better path. She had a big impact on that prison population and far beyond. Alice's story underscores the disparities and unfairness that can exist in criminal sentencing and the need to remedy this total injustice.",0,50,298,3,15.0
trump_sotu_02_033,Trump,SOTU,02,33,"She served almost that 22 years and had expected to be in prison for the remainder of her life. In June, I commuted Alice's sentence.",0,25,133,2,7.5
trump_sotu_02_034,Trump,SOTU,02,34,"When I saw Alice's beautiful family greet her at the prison gates, hugging and kissing and crying and laughing, I knew I did something right. Alice is with us tonight, and she is a terrific woman. Terrific.",0,37,206,3,11.1
trump_sotu_02_035,Trump,SOTU,02,35,"Alice, please. Alice, thank you for reminding us that we always have the power to shape our own destiny. Thank you very much, Alice.",0,24,132,3,7.2
trump_sotu_02_036,Trump,SOTU,02,36,"Thank you very much. Inspired by stories like Alice's, my administration worked closely with members of both parties to sign the First Step Act into law. Big deal.",0,28,163,3,8.4
trump_sotu_02_037,Trump,SOTU,02,37,"It's a big deal. This legislation reformed sentencing laws that have wrongly and disproportionately harmed the African American community. The First Step Act gives nonviolent offenders the chance to reenter society as productive, law-abiding citizens.",0,35,251,3,10.5
trump_sotu_02_038,Trump,SOTU,02,38,Now States across the country are following our lead.,0,9,53,1,2.7
trump_sotu_02_039,Trump,SOTU,02,39,America is a nation that believes in redemption.,0,8,48,1,2.4
trump_sotu_02_040,Trump,SOTU,02,40,"We are also joined tonight by Matthew Charles from Tennessee. In 1996, at the age of 30, Matthew was sentenced to 35 years for selling drugs and related offenses. Over the next two decades, he completed more than 30 Bible studies, became a law clerk, and mentored many of his fellow inmates.",0,52,291,3,15.6
trump_sotu_02_041,Trump,SOTU,02,41,"Now Matthew is the very first person to be released from prison under the First Step Act. Matthew, please. Thank you, Matthew.",0,22,126,3,6.6
trump_sotu_02_042,Trump,SOTU,02,42,"Now Republicans and Democrats must join forces again to confront an urgent national crisis. Congress has 10 days left to pass a bill that will fund our Government, protect our homeland, and secure our very dangerous southern border.",0,38,232,2,11.4
trump_sotu_02_043,Trump,SOTU,02,43,"Now is the time for Congress to show the world that America is committed to ending illegal immigration and putting the ruthless coyotes, cartels, drug dealers, and human traffickers out of business.",0,32,198,1,9.6
trump_sotu_02_044,Trump,SOTU,02,44,"As we speak, large, organized caravans are on the march to the United States.",0,14,77,1,4.2
trump_sotu_02_045,Trump,SOTU,02,45,"We have just heard that Mexican cities, in order to remove the illegal immigrants from their communities, are getting trucks and buses to bring them up to our country in areas where there is little border protection.",0,37,216,1,11.1
trump_sotu_02_046,Trump,SOTU,02,46,"I have ordered another 3,750 troops to our southern border to prepare for this tremendous onslaught. This is a moral issue. The lawless state of our southern border is a threat to the safety, security, and financial well-being of all America.",0,41,242,3,12.3
trump_sotu_02_047,Trump,SOTU,02,47,We have a moral duty to create an immigration system that protects the lives and jobs of our citizens. This includes our obligation to the millions of immigrants living here today who followed the rules and respected our laws. Legal immigrants enrich our Nation and strengthen our society in countless ways.,0,51,307,3,15.3
