expert_id	country_id	nr_experts	party	party_id	intradem	personalised	manichean	indivisble	generalwill	peoplecentrism	antielitism	complex	emotional	lroverall	lrecon	immigration	eu	nativism	laworder	lifestyle	gender	accuracy	self_leftright	discipline	expertise
1001.0	1.0	13.0	"SPO"	101.0	8	6	2	7	2	2	7	7	2	4	3	6	8	3	2	7	0	7	6	1	"1,2,3,4,5,7"
1002.0	1.0	13.0	"SPO"	101.0	7	6	5	8	7	8	7	7	6	4	4	5	7	4	3	7	0	9	6	1	"4,5,15"
1003.0	1.0	13.0	"SPO"	101.0	5	6	6	3	3	4	2	7	6	4	3	4	7	3	4	3	0	7	2	1	"1,7"
1004.0	1.0	13.0	"SPO"	101.0	5	9	5	3	7	7	5	8	7	3	3	5	7	2	5	5	0	8	4	1	"1,2,15"
1005.0	1.0	13.0	"SPO"	101.0	7	7	3	2	2	1	1	4	4	3	2	5	9	2	1	9	0	8	3	1	"3,4"
1006.0	1.0	13.0	"SPO"	101.0	7	6	5	5	5	6	4	5	6	4	5	4	7	4	5	7	1	8	2	1	"2,3,12,13"
1007.0	1.0	13.0	"SPO"	101.0	3	6	5	3	6	3	4	4	5	3	2	6	8	2	5	9	0	7	4	1	"1,2,3,4"
1008.0	1.0	13.0	"SPO"	101.0	6	5	3	4	2	4	2	6	6	4	4	6	9	3	5	7	0	4	4	1	"1,4"
1009.0	1.0	13.0	"SPO"	101.0	7	5		5	3	3	3	5	7	4	3	4	8	4	3	6	1	7	4	1	"1,7,9"
1010.0	1.0	13.0	"SPO"	101.0	9	8	1	0	0	0	0	10	3	2	1	7	10	0	1	10	1	10	1	3	"2,3,7,13"
1011.0	1.0	13.0	"SPO"	101.0	8	7	3	1	4	1	3	7	3	4	2	7	7	3	3	7	0	9	4	1	"2,3,4"
1012.0	1.0	13.0	"SPO"	101.0	5	5	3	3	3	3	0	7	4	3	4	6	9	0	3	9	0	7	3	1	"2,9,11"
1013.0	1.0	13.0	"SPO"	101.0	5	5	3	5	4	6	4	7	4	4	2	6	9	2	4	10	1	9		1	"15"
1001.0	1.0	13.0	"OVP"	102.0	8	7	3	5	2	2	4	6	4	7	7	3	7	6	3	4	0	7	6	1	"1,2,3,4,5,7"
1002.0	1.0	13.0	"OVP"	102.0	6	8	6	5	4	6	5	4	8	7	7	4	7	6	6	4	0	9	6	1	"4,5,15"
1003.0	1.0	13.0	"OVP"	102.0	3	7	6	5	4	4	2	7	7	7	7	2	6	5	6	7	0	7	2	1	"1,7"
1004.0	1.0	13.0	"OVP"	102.0	7	10	7	4	5	5	5	8	8	7	7	3	5	4	7	3	0	8	4	1	"1,2,15"
1005.0	1.0	13.0	"OVP"	102.0	5	9	5	6	4	2	2	4	6	8	8	1	6	9	9	1	0	8	3	1	"3,4"
1006.0	1.0	13.0	"OVP"	102.0	5	10	7	7	7	5	5	5	8	8	9	1	6	7	8	1	1	8	2	1	"2,3,12,13"
1007.0	1.0	13.0	"OVP"	102.0	1	8	5	3	4	2	3	4	6	7	6	2	6	6	9	4	0	7	4	1	"1,2,3,4"
1008.0	1.0	13.0	"OVP"	102.0	5	7	3	4	4	4	3	6	6	7	7	2	7	8	7	1	0	4	4	1	"1,4"
1009.0	1.0	13.0	"OVP"	102.0	3	10		3	6	5	1	3	7	7	8	1	5	8	6	4	1	7	4	1	"1,7,9"
1010.0	1.0	13.0	"OVP"	102.0	0	10	10	9	9	6	7	2	10	10	10	0	5	8	10	1	1	10	1	3	"2,3,7,13"
1011.0	1.0	13.0	"OVP"	102.0	6	10	5	3	6	2	3	5	7	6	8	3	6	5	6	2	0	9	4	1	"2,3,4"
1012.0	1.0	13.0	"OVP"	102.0	5	8	7	6	7	4	5	3	7	7	8	2	7	6	7	3	0	7	3	1	"2,9,11"
1013.0	1.0	13.0	"OVP"	102.0	5	7	3	5	4	6	4	5	4	7	7	3	9	7	7	3	1	9		1	"15"
1001.0	1.0	13.0	"FPO"	103.0	2	8	8	9	8	9	9	2	9	8	4	1	2	9	8	2	0	7	6	1	"1,2,3,4,5,7"
1002.0	1.0	13.0	"FPO"	103.0	5	8	7	4	3	6	5	4	8	8	7	3	3	7	7	4	0	9	6	1	"4,5,15"
1003.0	1.0	13.0	"FPO"	103.0	2	8	9	9	10	8	9	2	10	9	7	0	2	8	9	9	0	7	2	1	"1,7"
1004.0	1.0	13.0	"FPO"	103.0	3	9	10	8	10	10	10	2	10	5	5	0	0	10	10	2	0	8	4	1	"1,2,15"
1005.0	1.0	13.0	"FPO"	103.0	2	9	8	8	8	9		0	9	9	6	0	0	10	10	4	0	8	3	1	"3,4"
1006.0	1.0	13.0	"FPO"	103.0	2	10	10	10	10	10	10	0	10	10	8	0	0	10	10	0	1	8	2	1	"2,3,12,13"
1007.0	1.0	13.0	"FPO"	103.0	1	8	4	7	8	8	9	2	7	9	6	0	1	10	10	1	0	7	4	1	"1,2,3,4"
1008.0	1.0	13.0	"FPO"	103.0	3	7	5	7	8	6	6	4	7	8	6	1	3	10	9	2	0	4	4	1	"1,4"
1009.0	1.0	13.0	"FPO"	103.0	1	8		10	10	9	8	1	9	8	5	0	2	9	8	3	1	7	4	1	"1,7,9"
1010.0	1.0	13.0	"FPO"	103.0	0	10	10	10	10	10	10	0	10	10	10	0	1	10	10	0	1	10	1	3	"2,3,7,13"
1011.0	1.0	13.0	"FPO"	103.0	3	10	8	9	10	9	9	1	9	10	7	0	0	10	10	0	0	9	4	1	"2,3,4"
1012.0	1.0	13.0	"FPO"	103.0	5	9	9	10	8	10	10	0	9	8	6	0	3	9	9	1	0	7	3	1	"2,9,11"
1013.0	1.0	13.0	"FPO"	103.0	5	8	7	8	7	7	8	4	7	9	4	0	3	9	9	2	1	9		1	"15"
1001.0	1.0	13.0	"Gruene"	104.0	9	2	2	1	1	1	5	5	2	3	3	8	8	1	1	9	0	7	6	1	"1,2,3,4,5,7"
1002.0	1.0	13.0	"Gruene"	104.0	8	5	4	8	8	6	6	7	6	2	3	8	8	3	3	7	0	9	6	1	"4,5,15"
1003.0	1.0	13.0	"Gruene"	104.0	7	3	7	1	2	4	2	7	5	3	3	6	8	1	2	1	0	7	2	1	"1,7"
1004.0	1.0	13.0	"Gruene"	104.0	8	7	5	4	3	8	7	6	6	5	4	9	7	2	3	6	0	8	4	1	"1,2,15"
1005.0	1.0	13.0	"Gruene"	104.0	8	1	3	0	0	2	2	5	4	1	1	10	10	0	0	10	0	8	3	1	"3,4"
1006.0	1.0	13.0	"Gruene"	104.0	9	3	1	1	1	1	4	9	5	3	2	8	8	0	1	10	1	8	2	1	"2,3,12,13"
1007.0	1.0	13.0	"Gruene"	104.0	6	1	7	2	2	2	4	6	7	2	1	8	9	0	1	10	0	7	4	1	"1,2,3,4"
1008.0	1.0	13.0	"Gruene"	104.0	7	3	5	1	2	7	5	7	6	3	4	8	7	1	2	9	0	4	4	1	"1,4"
1009.0	1.0	13.0	"Gruene"	104.0	8	0		0	1	2	0	8	6	3	4	5	10	1	2	9	1	7	4	1	"1,7,9"
1010.0	1.0	13.0	"Gruene"	104.0	8	6	1	0	0	0	0	10	2	1	1	9	10	0	0	10	1	10	1	3	"2,3,7,13"
1011.0	1.0	13.0	"Gruene"	104.0	10	4	7	0	2	3	2	9	3	3	2	9	9	0	1	9	0	9	4	1	"2,3,4"
1012.0	1.0	13.0	"Gruene"	104.0	10	4	5	3	4	7	2	6	6	4	4	7	10	0	1	9	0	7	3	1	"2,9,11"
