country_id	party	party_id	cee	ches_id	family	cmp_id	parlgov_id	manichean	indivisble	generalwill	peoplecentrism	antielitism	complex	emotional	lroverall	lrecon	immigration	eu	nativism	laworder	lifestyle	intradem	personalised	nr_experts	mean_expert_response	populism
1.0	"SPO"	101.0	0	1301	5	42320	973	3.0	3.0	3.0	3.0	3.0	7.0	5.0	4.0	3.0	6.0	8.0	3.0	3.0	7.0	7.0	6.0	13.0	12.9375	1.7896209
1.0	"OVP"	102.0	0	1302	4	42520	1013	5.5	5.0	4.0	4.0	4.0	5.0	7.0	7.0	7.0	2.0	6.0	6.0	7.0	3.0	5.0	8.0	13.0	12.9375	3.5139453
1.0	"FPO"	103.0	0	1303	1	42420	50	8.0	9.0	8.0	9.0	9.0	2.0	9.0	9.0	6.0	0.0	2.0	10.0	9.0	2.0	2.0	8.0	13.0	12.875	8.512114
1.0	"Gruene"	104.0	0	1304	7	42110	1429	4.5	1.0	2.0	3.0	4.0	7.0	5.0	3.0	3.0	8.0	9.0	0.0	1.0	9.0	8.0	3.0	13.0	12.9375	1.6602722
1.0	"NEOS"	105.0	0	1306	3	42430	2255	3.5	2.0	2.0	4.0	3.0	6.0	4.0	6.0	7.0	6.0	9.0	2.0	1.0	9.0	8.0	6.0	13.0	12.875	1.5536929
1.0	"PILZ"	106.0	0		7	42120	2651	5.0	2.0	3.0	5.0	6.0	4.0	5.0	3.0	2.0	6.0	7.0	3.0	2.0	8.0	7.0	7.5	13.0	10.75	3.2139642
2.0	"NVA"	201.0	0	110	8	21916	501	8.0	7.0	7.0	5.0	6.0	3.5	8.0	8.0	8.0	2.0	4.0	8.0	8.5	3.0	3.0	9.0	14.0	13.75	6.267164
2.0	"CDV"	202.0	0	109	4	21521	723	3.0	3.5	3.0	3.5	2.5	7.5	3.5	5.0	5.0	5.0	8.0	5.0	6.0	3.5	6.0	5.0	14.0	13.875	1.8502082
2.0	"OVLD"	203.0	0	107	3	21421	1110	3.0	2.0	3.5	5.0	3.0	7.0	4.5	6.0	7.5	4.0	8.0	4.0	5.0	8.0	7.0	5.5	14.0	13.8125	2.234162
2.0	"SPa"	204.0	0	103	5	21321	1029	5.0	3.0	4.0	5.0	4.0	7.0	6.0	3.0	3.0	6.0	8.0	3.0	4.0	8.0	6.5	5.0	14.0	13.875	3.2858605
2.0	"GROEN"	205.0	0	105	7	21112	1594	4.0	2.0	2.5	5.0	6.0	7.0	6.0	2.0	3.0	7.0	8.0	2.0	2.5	9.0	8.5	5.0	14.0	13.875	2.7891033
2.0	"VB"	206.0	0	112	1	21917	993	9.0	9.0	8.0	8.0	9.0	1.0	9.0	9.0	5.0	0.0	3.0	10.0	10.0	2.0	3.0	7.0	14.0	13.75	8.536842
