run_id,job_id,run_number,analysis_text,model_name_run,framework_run,timestamp_run,cost,duration_seconds,success,model_parameters,well_Fear,well_Hope,well_Truth,well_Dignity,well_Fantasy,well_Justice,well_Tribalism,well_Pragmatism,well_Resentment,well_Manipulation,well_unity,well_justice,well_liberty,well_security,well_tradition,well_civic_duty,well_prosperity,well_moral_leadership,narrative_x,narrative_y,speaker,speech_type,text_length,framework_job,model_name_job,total_runs,successful_runs,total_cost,total_duration_seconds,timestamp_job,variance_stats,threshold_category,created_at,updated_at,mean_Fear,mean_Hope,mean_Truth,mean_Dignity,mean_Fantasy,mean_Justice,mean_Tribalism,mean_Pragmatism,mean_Resentment,mean_Manipulation,mean_unity,mean_justice,mean_liberty,mean_security,mean_tradition,mean_civic_duty,mean_prosperity,mean_moral_leadership,total_variance,avg_mean_score
trump_trump_gpt4o_gpt_4o_20250606_221319_run_5,trump_trump_gpt4o_gpt_4o_20250606_221319,5,"The speech heavily emphasizes tribalism, manipulation, and fear, with frequent references to in-group/out-group dynamics, emotional appeals, and exaggerated threats. It presents a fantasy of a 'Golden Age' with unrealistic promises. While there is some hope expressed, it lacks pragmatic solutions. Justice is overshadowed by resentment, focusing on grievances and punitive measures. Dignity is minimally present, with limited emphasis on individual worth beyond group identity.",claude 3.5 sonnet,civic_virtue,2025-06-06 22:21:52.180157,0.0342,22.36,True,"{'model': 'gpt-4o', 'max_tokens': 4000, 'temperature': 0.1}",0.8,0.6,0.3,0.2,0.8,0.3,0.8,0.2,0.7,0.7,,,,,,,,,0.03126106144396681,-0.24093425915954683,Donald Trump,Joint Session Address,55722,civic_virtue,claude 3.5 sonnet,5,5,0.171,12.53,2025-06-06 22:21:52.134243,"{'well_count': 10, 'total_variance': 0.2, 'threshold_category': 'normal', 'max_individual_variance': 0.040000000000000036}",normal,2025-06-06 22:21:52.137640,2025-06-06 22:21:52.137640,0.72,0.52,0.3,0.2,0.8,0.38,0.8,0.27999999999999997,0.6199999999999999,0.7,,,,,,,,,0.016,0.532
trump_trump_gpt4o_gpt_4o_20250606_221319_run_4,trump_trump_gpt4o_gpt_4o_20250606_221319,4,"The speech heavily emphasizes tribalism, with a strong focus on in-group/out-group dynamics and nationalistic rhetoric. Manipulation is evident through emotional appeals and exaggerated claims. Resentment is present in grievances against previous administrations and opponents. Fantasy is prominent with promises of unprecedented success and simple solutions. Fear is used to highlight threats from immigration and foreign entities. Dignity, truth, justice, hope, and pragmatism are less emphasized.",claude 3.5 sonnet,civic_virtue,2025-06-06 22:21:52.171637,0.0342,30.23,True,"{'model': 'gpt-4o', 'max_tokens': 4000, 'temperature': 0.1}",0.7,0.5,0.3,0.2,0.8,0.4,0.8,0.3,0.6,0.7,,,,,,,,,0.023799250295281255,-0.21770044525956253,Donald Trump,Joint Session Address,55722,civic_virtue,claude 3.5 sonnet,5,5,0.171,12.53,2025-06-06 22:21:52.134243,"{'well_count': 10, 'total_variance': 0.2, 'threshold_category': 'normal', 'max_individual_variance': 0.040000000000000036}",normal,2025-06-06 22:21:52.137640,2025-06-06 22:21:52.137640,0.72,0.52,0.3,0.2,0.8,0.38,0.8,0.27999999999999997,0.6199999999999999,0.7,,,,,,,,,0.016,0.532
trump_trump_gpt4o_gpt_4o_20250606_221319_run_3,trump_trump_gpt4o_gpt_4o_20250606_221319,3,"The speech heavily emphasizes tribalism, portraying a strong in-group/out-group dynamic. Manipulation is evident through emotional appeals and exaggerated claims. Resentment is present in grievances against previous administrations. Fantasy is strong with promises of unprecedented success. Fear is used to highlight threats. Dignity, truth, justice, hope, and pragmatism are less prominent, with some nods to unity and future aspirations.",claude 3.5 sonnet,civic_virtue,2025-06-06 22:21:52.162143,0.0342,17.0,True,"{'model': 'gpt-4o', 'max_tokens': 4000, 'temperature': 0.1}",0.7,0.5,0.3,0.2,0.8,0.4,0.8,0.3,0.6,0.7,,,,,,,,,0.023799250295281255,-0.21770044525956253,Donald Trump,Joint Session Address,55722,civic_virtue,claude 3.5 sonnet,5,5,0.171,12.53,2025-06-06 22:21:52.134243,"{'well_count': 10, 'total_variance': 0.2, 'threshold_category': 'normal', 'max_individual_variance': 0.040000000000000036}",normal,2025-06-06 22:21:52.137640,2025-06-06 22:21:52.137640,0.72,0.52,0.3,0.2,0.8,0.38,0.8,0.27999999999999997,0.6199999999999999,0.7,,,,,,,,,0.016,0.532
trump_trump_gpt4o_gpt_4o_20250606_221319_run_2,trump_trump_gpt4o_gpt_4o_20250606_221319,2,"The speech heavily emphasizes tribalism, manipulation, and fantasy, with strong in-group/out-group rhetoric, exaggerated claims, and utopian promises. Fear is used to justify actions, particularly regarding immigration and security. While there are elements of hope and justice, they are overshadowed by resentment and a lack of pragmatic solutions. Dignity and truth are minimally present, as the narrative focuses more on group identity and emotional persuasion.",claude 3.5 sonnet,civic_virtue,2025-06-06 22:21:52.151442,0.0342,2.48,True,"{'model': 'gpt-4o', 'max_tokens': 4000, 'temperature': 0.1}",0.7,0.5,0.3,0.2,0.8,0.4,0.8,0.3,0.6,0.7,,,,,,,,,0.023799250295281255,-0.21770044525956253,Donald Trump,Joint Session Address,55722,civic_virtue,claude 3.5 sonnet,5,5,0.171,12.53,2025-06-06 22:21:52.134243,"{'well_count': 10, 'total_variance': 0.2, 'threshold_category': 'normal', 'max_individual_variance': 0.040000000000000036}",normal,2025-06-06 22:21:52.137640,2025-06-06 22:21:52.137640,0.72,0.52,0.3,0.2,0.8,0.38,0.8,0.27999999999999997,0.6199999999999999,0.7,,,,,,,,,0.016,0.532
trump_trump_gpt4o_gpt_4o_20250606_221319_run_1,trump_trump_gpt4o_gpt_4o_20250606_221319,1,"The speech heavily emphasizes tribalism, portraying a strong in-group/out-group dynamic and focusing on American dominance. Manipulation is evident in the use of exaggerated claims and emotional appeals. Resentment is present in grievances against previous administrations and foreign entities. Fantasy is strong with promises of unprecedented achievements. Pragmatism and truth are weaker, with limited evidence-based solutions and acknowledgment of complexity.",claude 3.5 sonnet,civic_virtue,2025-06-06 22:21:52.138955,0.0341,5.51,True,"{'model': 'gpt-4o', 'max_tokens': 4000, 'temperature': 0.1}",0.7,0.5,0.3,0.2,0.8,0.4,0.8,0.3,0.6,0.7,,,,,,,,,0.023799250295281255,-0.21770044525956253,Donald Trump,Joint Session Address,55722,civic_virtue,claude 3.5 sonnet,5,5,0.171,12.53,2025-06-06 22:21:52.134243,"{'well_count': 10, 'total_variance': 0.2, 'threshold_category': 'normal', 'max_individual_variance': 0.040000000000000036}",normal,2025-06-06 22:21:52.137640,2025-06-06 22:21:52.137640,0.72,0.52,0.3,0.2,0.8,0.38,0.8,0.27999999999999997,0.6199999999999999,0.7,,,,,,,,,0.016,0.532
obama_obama_claude_claude_3_5_sonnet_20241022_20250606_221315_run_5,obama_obama_claude_claude_3_5_sonnet_20241022_20250606_221315,5,"Obama's inaugural address strongly emphasizes dignity (universal worth, shared humanity), truth (honest acknowledgment of challenges), and hope (grounded optimism) while maintaining pragmatic realism. The speech centers on collective responsibility and shared values rather than division. It acknowledges difficulties while offering realistic paths forward, grounded in historical precedent and American ideals. Notable focus on unity and common purpose over partisan interests, with minimal appeal to fear or resentment.",claude 3.5 sonnet,civic_virtue,2025-06-06 22:21:13.500511,0.0169,6.09,True,"{'model': 'claude-3-5-sonnet-20241022', 'max_tokens': 4000, 'temperature': 0.1}",0.2,0.9,0.8,0.9,0.2,0.8,0.2,0.8,0.1,0.1,,,,,,,,,0.008308861068001733,0.37026006457325367,Barack Obama,Inaugural Address,13897,civic_virtue,claude 3.5 sonnet,5,5,0.0835,4.09,2025-06-06 22:21:13.470068,"{'well_count': 10, 'total_variance': 0.0, 'threshold_category': 'perfect', 'max_individual_variance': 0.0}",perfect,2025-06-06 22:21:13.473378,2025-06-06 22:21:13.473378,0.2,0.9,0.8,0.9,0.2,0.8,0.2,0.8,0.1,0.1,,,,,,,,,,
obama_obama_claude_claude_3_5_sonnet_20241022_20250606_221315_run_4,obama_obama_claude_claude_3_5_sonnet_20241022_20250606_221315,4,"Obama's inaugural address strongly emphasizes dignity (universal worth, shared humanity), truth (honest acknowledgment of challenges), and hope (grounded optimism) while maintaining pragmatic realism. The speech centers on collective responsibility and shared values rather than division. It acknowledges difficulties while offering realistic paths forward, emphasizing justice through inclusive progress rather than resentment. Notable for balancing aspirational rhetoric with practical acknowledgment of challenges.",claude 3.5 sonnet,civic_virtue,2025-06-06 22:21:13.494820,0.0167,6.9,True,"{'model': 'claude-3-5-sonnet-20241022', 'max_tokens': 4000, 'temperature': 0.1}",0.2,0.9,0.8,0.9,0.2,0.8,0.2,0.8,0.1,0.1,,,,,,,,,0.008308861068001733,0.37026006457325367,Barack Obama,Inaugural Address,13897,civic_virtue,claude 3.5 sonnet,5,5,0.0835,4.09,2025-06-06 22:21:13.470068,"{'well_count': 10, 'total_variance': 0.0, 'threshold_category': 'perfect', 'max_individual_variance': 0.0}",perfect,2025-06-06 22:21:13.473378,2025-06-06 22:21:13.473378,0.2,0.9,0.8,0.9,0.2,0.8,0.2,0.8,0.1,0.1,,,,,,,,,,
obama_obama_claude_claude_3_5_sonnet_20241022_20250606_221315_run_3,obama_obama_claude_claude_3_5_sonnet_20241022_20250606_221315,3,"Obama's inaugural address strongly emphasizes dignity (universal worth, shared humanity), truth (honest acknowledgment of challenges), and hope (grounded optimism) while maintaining pragmatic realism. The speech centers on collective responsibility and shared values rather than division. It acknowledges difficulties while offering realistic paths forward, emphasizing justice through inclusive progress rather than resentment. Notable for balancing aspirational rhetoric with practical acknowledgment of challenges.",claude 3.5 sonnet,civic_virtue,2025-06-06 22:21:13.488825,0.0165,7.02,True,"{'model': 'claude-3-5-sonnet-20241022', 'max_tokens': 4000, 'temperature': 0.1}",0.2,0.9,0.8,0.9,0.2,0.8,0.2,0.8,0.1,0.1,,,,,,,,,0.008308861068001733,0.37026006457325367,Barack Obama,Inaugural Address,13897,civic_virtue,claude 3.5 sonnet,5,5,0.0835,4.09,2025-06-06 22:21:13.470068,"{'well_count': 10, 'total_variance': 0.0, 'threshold_category': 'perfect', 'max_individual_variance': 0.0}",perfect,2025-06-06 22:21:13.473378,2025-06-06 22:21:13.473378,0.2,0.9,0.8,0.9,0.2,0.8,0.2,0.8,0.1,0.1,,,,,,,,,,
obama_obama_claude_claude_3_5_sonnet_20241022_20250606_221315_run_2,obama_obama_claude_claude_3_5_sonnet_20241022_20250606_221315,2,"Obama's inaugural address strongly emphasizes dignity (universal worth, shared humanity), truth (honest acknowledgment of challenges), and hope (grounded optimism) while maintaining pragmatic realism. The speech centers on collective responsibility and shared values rather than division. It acknowledges difficulties while offering realistic paths forward, emphasizing justice through inclusive progress rather than resentment. Notable for balancing aspirational rhetoric with practical acknowledgment of challenges.",claude 3.5 sonnet,civic_virtue,2025-06-06 22:21:13.482340,0.0165,5.95,True,"{'model': 'claude-3-5-sonnet-20241022', 'max_tokens': 4000, 'temperature': 0.1}",0.2,0.9,0.8,0.9,0.2,0.8,0.2,0.8,0.1,0.1,,,,,,,,,0.008308861068001733,0.37026006457325367,Barack Obama,Inaugural Address,13897,civic_virtue,claude 3.5 sonnet,5,5,0.0835,4.09,2025-06-06 22:21:13.470068,"{'well_count': 10, 'total_variance': 0.0, 'threshold_category': 'perfect', 'max_individual_variance': 0.0}",perfect,2025-06-06 22:21:13.473378,2025-06-06 22:21:13.473378,0.2,0.9,0.8,0.9,0.2,0.8,0.2,0.8,0.1,0.1,,,,,,,,,,
obama_obama_claude_claude_3_5_sonnet_20241022_20250606_221315_run_1,obama_obama_claude_claude_3_5_sonnet_20241022_20250606_221315,1,"Obama's inaugural address strongly emphasizes dignity (universal worth, shared humanity), truth (honest acknowledgment of challenges), and hope (grounded optimism) while maintaining pragmatic realism. The speech centers on collective responsibility and shared values rather than division. It acknowledges difficulties while offering realistic paths forward, grounded in historical precedent and American ideals. Notable focus on unity and common purpose over partisan interests, with minimal appeal to fear or resentment.",claude 3.5 sonnet,civic_virtue,2025-06-06 22:21:13.475579,0.0169,6.4,True,"{'model': 'claude-3-5-sonnet-20241022', 'max_tokens': 4000, 'temperature': 0.1}",0.2,0.9,0.8,0.9,0.2,0.8,0.2,0.8,0.1,0.1,,,,,,,,,0.008308861068001733,0.37026006457325367,Barack Obama,Inaugural Address,13897,civic_virtue,claude 3.5 sonnet,5,5,0.0835,4.09,2025-06-06 22:21:13.470068,"{'well_count': 10, 'total_variance': 0.0, 'threshold_category': 'perfect', 'max_individual_variance': 0.0}",perfect,2025-06-06 22:21:13.473378,2025-06-06 22:21:13.473378,0.2,0.9,0.8,0.9,0.2,0.8,0.2,0.8,0.1,0.1,,,,,,,,,,
