id,job_id,well_name,mean_score,std_deviation,variance,score_category,well_type,created_at
5,stub_test_20250606_221655,civic_duty,0.787,0.0034,1.2e-05,high,disintegrative,2025-06-06 22:16:55.222180
4,stub_test_20250606_221655,justice,0.738,0.0078,6.1e-05,high,integrative,2025-06-06 22:16:55.222180
2,stub_test_20250606_221655,liberty,0.684,0.0067,4.5e-05,medium,integrative,2025-06-06 22:16:55.222180
6,stub_test_20250606_221655,moral_leadership,0.721,0.0089,7.9e-05,high,disintegrative,2025-06-06 22:16:55.222180
1,stub_test_20250606_221655,prosperity,0.751,0.0089,7.9e-05,high,integrative,2025-06-06 22:16:55.222180
3,stub_test_20250606_221655,security,0.814,0.0045,2e-05,high,integrative,2025-06-06 22:16:55.222180
8,stub_test_20250606_221655,tradition,0.652,0.0123,0.000151,medium,disintegrative,2025-06-06 22:16:55.222180
7,stub_test_20250606_221655,unity,0.764,0.0056,3.1e-05,high,disintegrative,2025-06-06 22:16:55.222180
13,stub_test_20250606_221721,civic_duty,0.787,0.0034,1.2e-05,high,disintegrative,2025-06-06 22:17:21.910784
12,stub_test_20250606_221721,justice,0.738,0.0078,6.1e-05,high,integrative,2025-06-06 22:17:21.910784
10,stub_test_20250606_221721,liberty,0.684,0.0067,4.5e-05,medium,integrative,2025-06-06 22:17:21.910784
14,stub_test_20250606_221721,moral_leadership,0.721,0.0089,7.9e-05,high,disintegrative,2025-06-06 22:17:21.910784
9,stub_test_20250606_221721,prosperity,0.751,0.0089,7.9e-05,high,integrative,2025-06-06 22:17:21.910784
11,stub_test_20250606_221721,security,0.814,0.0045,2e-05,high,integrative,2025-06-06 22:17:21.910784
16,stub_test_20250606_221721,tradition,0.652,0.0123,0.000151,medium,disintegrative,2025-06-06 22:17:21.910784
15,stub_test_20250606_221721,unity,0.764,0.0056,3.1e-05,high,disintegrative,2025-06-06 22:17:21.910784
27,trump_trump_gpt4o_gpt_4o_20250606_221319,Dignity,0.2,0.0,0.0,low,integrative,2025-06-06 22:22:31.716580
17,trump_trump_gpt4o_gpt_4o_20250606_221319,Dignity,0.2,0.0,0.0,low,integrative,2025-06-06 22:21:52.187184
18,trump_trump_gpt4o_gpt_4o_20250606_221319,Fantasy,0.8,0.0,0.0,high,disintegrative,2025-06-06 22:21:52.187184
28,trump_trump_gpt4o_gpt_4o_20250606_221319,Fantasy,0.8,0.0,0.0,high,disintegrative,2025-06-06 22:22:31.716580
19,trump_trump_gpt4o_gpt_4o_20250606_221319,Fear,0.72,0.04,0.0016,high,disintegrative,2025-06-06 22:21:52.187184
29,trump_trump_gpt4o_gpt_4o_20250606_221319,Fear,0.72,0.04,0.0016,high,disintegrative,2025-06-06 22:22:31.716580
30,trump_trump_gpt4o_gpt_4o_20250606_221319,Hope,0.52,0.04,0.0016,medium,integrative,2025-06-06 22:22:31.716580
20,trump_trump_gpt4o_gpt_4o_20250606_221319,Hope,0.52,0.04,0.0016,medium,integrative,2025-06-06 22:21:52.187184
21,trump_trump_gpt4o_gpt_4o_20250606_221319,Justice,0.38,0.04,0.0016,medium,integrative,2025-06-06 22:21:52.187184
31,trump_trump_gpt4o_gpt_4o_20250606_221319,Justice,0.38,0.04,0.0016,medium,integrative,2025-06-06 22:22:31.716580
22,trump_trump_gpt4o_gpt_4o_20250606_221319,Manipulation,0.7,0.0,0.0,medium,disintegrative,2025-06-06 22:21:52.187184
32,trump_trump_gpt4o_gpt_4o_20250606_221319,Manipulation,0.7,0.0,0.0,medium,disintegrative,2025-06-06 22:22:31.716580
23,trump_trump_gpt4o_gpt_4o_20250606_221319,Pragmatism,0.28,0.04,0.0016,low,integrative,2025-06-06 22:21:52.187184
33,trump_trump_gpt4o_gpt_4o_20250606_221319,Pragmatism,0.28,0.04,0.0016,low,integrative,2025-06-06 22:22:31.716580
24,trump_trump_gpt4o_gpt_4o_20250606_221319,Resentment,0.62,0.04,0.0016,medium,disintegrative,2025-06-06 22:21:52.187184
34,trump_trump_gpt4o_gpt_4o_20250606_221319,Resentment,0.62,0.04,0.0016,medium,disintegrative,2025-06-06 22:22:31.716580
35,trump_trump_gpt4o_gpt_4o_20250606_221319,Tribalism,0.8,0.0,0.0,high,disintegrative,2025-06-06 22:22:31.716580
25,trump_trump_gpt4o_gpt_4o_20250606_221319,Tribalism,0.8,0.0,0.0,high,disintegrative,2025-06-06 22:21:52.187184
26,trump_trump_gpt4o_gpt_4o_20250606_221319,Truth,0.3,0.0,0.0,medium,integrative,2025-06-06 22:21:52.187184
36,trump_trump_gpt4o_gpt_4o_20250606_221319,Truth,0.3,0.0,0.0,medium,integrative,2025-06-06 22:22:31.716580
